no_emissor_padronizado,no_emissor_fitch,no_emissor_moodys,no_emissor_standard_and_poors,no_emissor_austin,no_emissor_liberum,cnpj_emissor
AGROLEND SOCIEDADE CREDITO,,"Agrolend Sociedade de Credito, Financiamento e Investimento S.A.",,,,43774196000184
AGROTERENAS ADMINISTRACAO PARTICIPACOES,,,Agroterenas S.A. Administracao e Participacoes,,,13553385000166
AGUA VERMELHA TRANSMISSORA ENERGIA,Agua Vermelha Transmissora de Energia S.A,,,,,26855869000101
AGUAS GUARIROBA,Aguas Guariroba S.A.,,Aguas Guariroba S.A.,,,04089570000150
AGUAS IMPERATRIZ,Aguas da Imperatriz S.A.,,,,,17940191000174
AGUAS PARA B SPE,,,Aguas do Para B SPE S.A.,,,61067902000130
AGUAS PARA D SPE,,,Aguas do Para D SPE S.A.,,,61067904000129
AGUAS PARA SPE,,,Aguas do Para A SPE S.A.,,,61067901000195
AGUAS PARAIBA,Aguas do Paraiba S.A.,,,,,01280003000199
AGUAS RIO 1 SPE,,,Aguas do Rio 1 SPE S.A.,,,42310775000103
AGUAS RIO 4 SPE,,,Aguas do Rio 4 SPE S.A.,,,42644220000106
AGUAS SERTAO,,Águas do Sertão S.A.,,,,45456117000112
AGUAS TERESINA SANEAMENTO SPE,Aguas de Teresina Saneamento SPE S.A.,,,,,27157474000106
AKAD SEGUROS,,,Akad Seguros S.A.,,,14868712000131
AL CREDIT FIDC NP,,,,AL CREDIT FIDC NP  - SUBORDINADAS,,
ALAGOAS,,,Alagoas (State of),,,12.200.176/0001-76
ALARES INTERNET PARTICIPACOES,Alares Internet Participacoes S.A.,,,,,23438929000100
ALASKA INVESTIMENTOS,,Alaska Investimentos Ltda,,,,11752203000150
ALBIOMA SOLAR PARTICIPACOES,Albioma Solar Participacoes S.A.,,,,,
ALFA FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL,,,,,ALFA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,
ALGAR TELECOM,,,Algar Telecom S/A,,,71208516000174
ALGARVE MEDITERRANEO FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS,,,,,ALGARVE MEDITERRÂNEO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,44698045000157
ALIANCA GERACAO ENERGIA,Alianca Geracao de Energia S.A.,,,,,11851057000110
ALIANCA TRANSMISSORA ENERGIA,Alianca Transmissora de Energia S.A.,,,,,
ALIBEM ALIMENTOS,,Alibem Alimentos S.A.,,,,03941052000150
ALION MZ FIC FIDC,,,,ALION MZ FIC FIDC - SUBORDINADAS JÚNIOR,,
ALLIANCA SAUDE PARTICIPACOES,Allianca Saude e Participacoes S.A.,,,,,42771949000135
ALLOS,ALLOS S.A.,Allos S.A.,,,,05878397000132
ALLSEC FIDC,,,,ALLSEC FIDC  - SUBORDINADAS JÚNIOR,,
