no_emissor_padronizado,no_emissor_fitch,no_emissor_moodys,no_emissor_standard_and_poors,no_emissor_austin,no_emissor_liberum,cnpj_emissor
CONSIGNADO PLGN I FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,Consignado PLGN I Fundo de Investimento em Direitos Creditórios Responsabilidade Limitada,,,,52596071000100
CONSIGNADOS V FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,Consignados V Fundo de Investimento em Direitos Creditórios - Responsabilidade Limitada,,,,47240173000140
CONSIGNADOS V FUNDOS INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,,,CONSIGNADOS V FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,
CONSIGNADOS VI FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,Consignados VI Fundo de Investimento em Direitos Creditórios - Responsabilidade Limitada,,,,55843467000195
CONSIGNADOS VIII FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,Consignados VIII Fundo de Investimento em Direitos Creditórios  – Responsabilidade Limitada,,,,53286391000119
CONSTANCIA INVESTIMENTOS,,,,CONSTÂNCIA INVESTIMENTOS,,10626543000172
CONSTRUTORA TENDA,,,Construtora Tenda S/A,,,71476527000135
CONTAI FIDC,,,,CONTAÍ FIDC - SENIORES 1ª SÉRIE,,
CONTATO FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL,,,,,CONTATO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,
CONVICON,,,Convicon – Contêineres de Vila do Conde S.A.,,,06013760000110
COOPERA FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,COOPERA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,42627599000138
COOPERA FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,,,COOPERA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,42627599000138
COOPERATIVA CENTRAL CREDITO AILOS,Cooperativa Central de Credito Ailos,,,,,05463212000129
COOPERATIVA CENTRAL CREDITO ECONOMIA INTERACAO SOLIDARIA,,Cooperativa Central de Crédito e Economia com Interação Solidária – Cresol Central Brasil,,,,07202627000174
COOPERATIVA CENTRAL CREDITO ESPIRITO SANTO,Cooperativa Central de Credito do Espirito Santo - Sicoob Central ES,,,,,32428294000143
COOPERATIVA CENTRAL CREDITO ESTADO SAO PAULO,Cooperativa Central de Credito do Estado de Sao Paulo - Sicoob Sao Paulo,,,,,63917579000171
COOPERATIVA CENTRAL CREDITO INTERACAO SOLIDARIA,Cooperativa Central de Credito com Interacao Solidaria - Central Cresol Baser,,,,,01401771000153
COOPERATIVA CENTRAL CREDITO RURAL INTERACAO SOLIDARIA,Cooperativa Central de Credito Rural com Interacao Solidaria - Central Cresol Sicoper,,,,,08197413000110
COOPERATIVA CENTRAL CREDITO UNICRED,,Cooperativa Central de Credito Unicred do Brasil - Unicred do Brasil,,,,00315557000111
COOPERATIVA CREDITO CONEXAO,Cooperativa de Credito Conexao - Sicoob Conexao,,,,,32430233000110
COOPERATIVA CREDITO COOPERMAIS,Cooperativa de Credito Coopermais - Sicoob Coopermais,,,,,31804966000105
COOPERATIVA CREDITO CREDICERIPA,Cooperativa de Credito Crediceripa - Sicoob Crediceripa,,,,,00966246000112
COOPERATIVA CREDITO CREDICITRUS,Cooperativa de Credito Credicitrus - Sicoob Credicitrus,,,,,
COOPERATIVA CREDITO CREDICOCAPEC,Cooperativa de Credito Credicocapec - Sicoob Credicocapec,,,,,
COOPERATIVA CREDITO CREDIROCHAS,Cooperativa de Credito Credirochas - Sicoob Credirochas,,,,,03358914000117
COOPERATIVA CREDITO LIVRE ADMISSAO ASSOCIADOS,Cooperativa de Credito de Livre Admissao de Associados - Sicoob Maxicredito,,,,,
COOPERATIVA CREDITO MEDICOS,"Cooperativa de Credito dos Medicos, Profissionais da Saude e Empresarios - Unicred Raizes","Cooperativa de Crédito dos Médicos, Profissionais da Saúde e Empresários de Mato Grosso",,,,36900256000100
COOPERATIVA CREDITO PRO,Cooperativa de Credito PRO - Sicoob PRO,,,,,44469161000102
COOPERATIVA CREDITO SICOOB ENGECRED,Cooperativa de Credito Sicoob Engecred Ltda,,,,,
COOPERATIVA CREDITO SUL,Cooperativa de Credito Sul-Serrana do Espirito Santo - Sicoob Sul-Serrano,,,,,32474884000102
COOPERATIVA CREDITO SUL ESPIRITO SANTO,Cooperativa de Credito Sul do Espirito Santo - Sicoob Sul,,,,,32467086000153
COOPERATIVA CREDITO UNICRED CENTRO,Cooperativa de Credito Unicred Centro-Sul Ltda. - Unicred Centro-Sul,,,,,
COOPERATIVA CREDITO UNICRED ESTADO SAO PAULO,Cooperativa de Credito Unicred do Estado de Sao Paulo Ltda,,,,,
COOPERATIVA CREDITO UNICRED UNIAO,Cooperativa de Credito Unicred Uniao Ltda - Unicred Uniao,,Cooperativa de Credito Unicred Uniao Ltda.,,,74114042000190
COOPERATIVA CREDITO UNICRED VALOR CAPITAL,Cooperativa De Credito Unicred Valor Capital Ltda - Unicred Valor Capital,,,,,
COOPERATIVA CREDITO VALE ITAJAI,Cooperativa de Credito Vale do Itajai - Viacredi,,,,,
COOPERATIVA ECONOMIA CREDITO MUTUO MEDICOS PORTO ALEGRE,Cooperativa de Economia e Credito Mutuo dos Medicos de Porto Alegre Ltda. - Unicred Porto Alegre,,,,,
COOPERFORTE COOPERATIVA CREDITO INVESTIMENTOS,,COOPERFORTE Cooperativa de Crédito e Investimentos Ltda.,,COOPERFORTE COOPERATIVA DE CRÉDITO E INVESTIMENTOS LTDA.,,
COPACABANA GERACAO ENERGIA PARTICIPACOES,Copacabana Geracao de Energia e Participacoes S.A.,,,,,
COPACOL,,,Copacol - Cooperativa Agroindustrial Consolata,,,76093731000190
COPEL DISTRIBUICAO,Copel Distribuicao S.A.,,,,,04368898000106
COPEL GERACAO TRANSMISSAO,Copel Geracao e Transmissao S.A.,,,,,04370282000170
COPEL SERVICOS,Copel Servicos S.A.,,,,,
COPOBRAS INDUSTRIA COMERCIO EMBALAGENS,Copobras S.A. Industria e Comercio de Embalagens,,,,,
CORPAL FIDC,,,,CORPAL FIDC - SUBORDINADAS,,
CORPORE NP FIDC NAO PADRONIZADO MULTISSETORIAL,,,,CORPORE NP FIDC NÃO PADRONIZADO MULTISSETORIAL - SUBORDINADAS,,
CORPOREOS SERVICOS TERAPEUTICOS,Corporeos Servicos Terapeuticos S.A.,Corpóreos Serviços Terapêuticos S.A.,,,,08845676049367
CORREDOR LOGISTICA INFRAESTRUTURA,Corredor Logistica e Infraestrutura S.A.,,,,,
CORUJA I FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,CORUJA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,57140603000106
COSAN,Cosan S.A.,Cosan S.A.,,,,50746577000115
CP COMERCIAL,CP Comercial S.A.,,,,,
CPFL COMERCIALIZACAO,CPFL Comercializacao Brasil S.A.,,,,,
CPFL ENERGIA,CPFL Energia S.A.,CPFL Energia S.A.,CPFL Energia S.A.,,,02429144000193
CPFL ENERGIAS RENOVAVEIS,CPFL Energias Renovaveis S.A.,,,,,08439659000150
CPFL GERACAO ENERGIA,CPFL Geracao de Energia S.A.,,,,,03953509000147
CPFL TRANSMISSAO,CPFL Transmissao S.A.,CPFL Transmissão S.A.,,,,92715812000131
CPX DISTRIBUIDORA,CPX Distribuidora S.A.,,,,,10158356000101
CRA ECOAGRO,,,,CRA ECOAGRO - RISCO EXPOCACER - 410ª EMISSÃO - SÉRIE ÚNICA,,
CREDCESTA FIDC,,,,CREDCESTA FIDC - SENIORES ÚNICA,,
CREDERE FIDC,,,,CREDERE FIDC - SENIORES 1ª SÉRIE,,
CREDIHOME FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,CREDIHOME FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,31962973000135
CREDISIS,,CrediSIS - Central de Cooperativas de Crédito Ltda.,,,,04632856000130
CREDIT FUNDO INVESTIMENTO COTAS FUNDOS INVESTIMENTO DIREITOS CREDITORIOS,,,,,CREDIT BRASIL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NP,08904592000188
CREDIT FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL MASTER,,,,,Credit Brasil Fundo de Investimento em Direitos Creditórios Multissetorial Master,12144737000167
CREDIT FUNDO INVESTIMENTOS DIREITOS CREDITORIOS MULTISSETORIAL NAO,,,,,Credit Brasil Fundo de Investimentos em Direitos Creditórios Multissetorial Não-Padronizados Multissetorial High,08904592000188
CREDIT PARTNERS,,,,CREDIT PARTNERS LTDA - SUBORDINADAS JÚNIOR,,09098616000111
CREDIT PARTNERS FUNDO INVESTIMENTO DIREITO CREDITORIOS,,,,,CREDIT PARTNERS FUNDO DE INVESTIMENTO EM DIREITO CREDITORIOS,32274874000123
CREDITCORP SECURITIZADORA,,Creditcorp Securitizadora S.A. - 1ª e 2ª Séries da 7ª Emissão de Debêntures (Prata Digital),,,,49947676000186
CREDITISE FUNDO INVESTIMENTOS DIREITOS CREDITORIOS NAO PADRONIZADO,,,,,Creditise Fundo de Investimentos em Direitos Creditórios Não Padronizado,
CREDITO UNIVERSITARIO FUNDO INVESTIMENTO DIREITOS CREDITORIOS,Credito Universitario Fundo de Investimento em Direitos Creditorios,,,,,08417544000165
CREDITO UNIVERSITARIO III FIDC,Credito Universitario III FIDC,,,,,34408539000104
CREDSHOW FIDC,,,,CREDSHOW FIDC - SUBORDINADAS MEZANINO I,,
CREDVALE FIDC,,,,CREDVALE FIDC - SENIORES 11ª SÉRIE,,
CREMER,,Cremer S.A.,,,,82641325000118
CRESCERA GESTAO RECURSOS,,Crescera Gestão de Recursos Ltda.,,,,09259317000111
CRESTONE I FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,CRESTONE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,30791451000155
CRESTONE I FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS,,,,,CRESTONE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,30791451000155
CRI BARI SECURITIZADORA 2022,CRI Bari Securitizadora 2022 - 11 (PGE Cascata),,,,,
CRI CIBRASEC,,,,CRI CIBRASEC - RISCO PPP HABITACIONAL - 303ª SÉRIE DA 2ª EMISSÃO,,
CRI OPEA,,,,CRI OPEA - 468ª E 470ª SÉRIES - 1ª EMISSÃO – RISCO SHOPPING MADUREIRA,,
CRI OPEA SECURITIZADORA,CRI Opea Securitizadora S.A. (Pacaembu),,,,,
CRI OPEA SECURITIZADORA 2023,CRI Opea Securitizadora 2023-202 (Faro Energy),,,,,
CRI TRUE SECURITIZADORA,,,,CRI TRUE SECURITIZADORA - RISCO PULVERIZADO (MRV) - 1ª SÉRIE - 161ª EMISSÃO,,
CRIS INFRASEC,,,,CRIS DA INFRASEC – RISCO PSA BRASIL - 1ª EMISSÃO,,
CRONOS FIDC NP,,,,CRONOS FIDC NP - SUBORDINADAS,,
CROWN OCEAN I FIDC NP,,,,CROWN OCEAN I FIDC NP - SUBORDINADAS MEZANINO,,
CROWN OCEAN III FIDC NP,,,,CROWN OCEAN III FIDC NP - ÚNICA,,
CRUZEIRO SUL EDUCACIONAL,Cruzeiro do Sul Educacional SA,,,,,62984091000102
CSCF CARTOES CONSIGNADOS BMG 2022,"CSCF Cartoes Consignados BMG 2022-2-1,2 (BMG 4)",,,,,
CSCF CARTOES CONSIGNADOS II 2022,"CSCF Cartoes Consignados II 2022-2-1,2 (BMG 3)",,,,,
CSCF CARTOES CONSIGNADOS II 2023,"CSCF Cartoes Consignados II 2023-3-1,2 (BMG 5)",,,,,
CSCF CARTOES CONSIGNADOS II 2025,"CSCF Cartoes Consignados II 2025-4-1,2,3 (BMG 8)",,,,,
CSCF VERT,CSCF Vert-5,,,,,25.005.683/0001-09
CSN MINERACAO,CSN Mineracao S.A.,,CSN Mineracao S.A.,,,08902291000115
CULTURA AGROMAIS FIDC,,,,CULTURA AGROMAIS FIDC - SUBORDINADAS JÚNIOR,,33549042000135
CUPERTINO FIDC NP,,,,CUPERTINO FIDC NP - SUBORDINADAS JÚNIOR,,
CURY CONSTRUTORA INCORPORADORA,,Cury Construtora e Incorporadora S.A.,Cury Construtora e Incorporadora S.A.,,,08797760000183
CUTIA EMPREENDIMENTOS EOLICOS,Cutia Empreendimentos Eolicos SA,,,,,
CVC OPERADORA AGENCIA VIAGENS,CVC Brasil Operadora e Agencia de Viagens S.A.,,,,,10760260000119
CYRELA BRAZIL REALTY EMPREENDIMENTOS PARTICIPACOES,,Cyrela Brazil Realty S.A. Empreendimentos e Participações (Cyrela),Cyrela Brazil Realty S.A. Empreendimentos e Participacoes,,,73178600000118
D'ORO CAPITAL FUNDO INVESTIMENTO DIREITOS CREDITORIOS CREDITO CORPORATIVO,,,,,D'ORO CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS CRÉDITO CORPORATIVO,51731270000103
D'ORO CAPITAL FUNDO INVESTIMENTO DIREITOS CREDITORIOS CREDITO CORPORATIVO RESPONSABILIDADE LIMITADA,,,,,D'ORO CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS CRÉDITO CORPORATIVO RESPONSABILIDADE LIMITADA,51731270000103
D'ORO CAPITAL FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL,,,,,D'ORO CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,
DAE,,,,DAE S.A. – ÁGUA E ESGOTO,,00007995000112
DAHLIA CAPITAL GESTAO RECURSOS,,Dahlia Capital Gestão de Recursos Ltda,,,,09551766000139
DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO RECURSOS,,Daycoval Asset Management Administração de Recursos Ltda.,,,,72027832000102
DAYCOVAL CONCREDITO CLT FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,,,DAYCOVAL CONCRÉDITO CLT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,
DAYCOVAL SEGUROS,Daycoval Seguros S.A.,,,,,
DB3 SERVICOS TELECOMUNICACOES,,,DB3 Servicos De Telecomunicacoes S.A.,,,41644220000135
DBS FIDC,,,,DBS FIDC - SENIORES 4ª SÉRIE,,
DCASH FUNDO INVESTIMENTO COTAS FUNDOS INVESTIMENTO DIREITOS CREDITORIOS,,,,,DCASH FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,32999032000139
DCASH FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,DCASH FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,32202903000141
DEBENTURES BGO,,,,DEBÊNTURES DA BGO - 1ª EMISSÃO - 1ª E 2ª SÉRIES,,
DEL CRED FIDC,,,,DEL CRED FIDC - SUBORDINADAS JÚNIOR,,04868137000113
DEL MONTE FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISEGMENTOS,,,,,DEL MONTE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,14605855000150
DELFINANCE SOCIEDADE CREDITO DIRETO,Delfinance Sociedade de Crédito Direto S.A.,,,,,38224857000168
DELGA INDUSTRIA COMERCIO,Delga Industria e Comercio S.A.,,,,,61532198000149
DELTA 2 ENERGIA,Delta 2 Energia S.A.,,,,,
DELTA 3 ENERGIA,Delta 3 Energia S.A.,,,,,
DELTA ENERGIA PRE,,,,DELTA ENERGIA PRÉ-PAGAMENTO I FIDC - SENIORES ÚNICA,,34644098000131
DELTA FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISEGMENTOS,,,,,DELTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,09220444000107
DEMAND FIDC,,,,DEMAND FIDC - SENIORES 1ª SÉRIE,,
DESENVOLVE SP,Desenvolve SP - Agencia de Fomento do Estado de Sao Paulo S.A.,,,,,10663610000129
DESKTOP,,,Desktop S.A.,,,08170849000115
DEUTSCHE BANK,Deutsche Bank S.A. - Banco Alemao,,,,,62331228000111
DEXCO,Dexco S.A.,DexCo S.A.,,,,97837181000147
DFC FIDC NP,,,,DFC FIDC NP - SUBORDINADAS JÚNIOR,,
DFG FIDC,,,,DFG FIDC - SUBORDINADAS MEZANINO,,
DIAGNOSTICOS AMERICA,Diagnosticos da America S.A.,,,,,61486650000183
DIALOGO ENGENHARIA CONSTRUCAO,,Diálogo Engenharia e Construção S.A.,,,,57132417000125
DIMED DISTRIBUIDORA MEDICAMENTOS,,,Dimed S.A. Distribuidora de Medicamentos,,,92665611000177
DIP FINANCING 11 FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO,,,,,DIP FINANCING 11 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS,24220859000174
DIRECIONAL ENGENHARIA,,,Direcional Engenharia S.A.,,,16614075000100
DIRETA CAPITAL FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISETORIAL,,,,,DIRETA CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL,51030944000142
DIRETA CAPITAL FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISETORIAL CLASSE UNICA FECHADA,,,,,DIRETA CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL DE CLASSE ÚNICA FECHADA,12586135000160
DIRETA CAPITAL FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISETORIAL CLASSE UNICA FECHADA RESPONSABILIDADE LIMITADA,,,,,DIRETA CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL DE CLASSE ÚNICA FECHADA DE RESPONSABILIDADE LIMITADA,12586135000160
DISAM BANK FIDC,,,,DISAM BANK FIDC - SUBORDINADAS MEZANINO,,
DIX EMPREENDIMENTOS,,DIX Empreendimentos S.A.,,,,04409762000440
DM INSTITUICAO PAGAMENTO,DM Instituicao de Pagamento S.A.,,,,,16581207000137
DM SOCIEDADE CREDITO,,,"DM Sociedade de Credito, Financiamento e Investimento S.A.",,,91669747000192
DMCARD SECURITIZADORA,DMCard Securitizadora S.A.,,,,,
DOLLAR DIVERSIFIED PAYMENT RIGHTS FINANCE COMPANY,Dollar Diversified Payment Rights Finance Company,,,,,
DRIVER SIX BANCO VOLKSWAGEN FIDC,,Driver Brasil Six Banco Volkswagen FIDC - Financiamento de Veículos,,,,50114948000146
DUAS RODAS FIDC,,,,DUAS RODAS FIDC - SENIORES 1ª SÉRIE,,
DURATEX FLORESTAL,Duratex Florestal Ltda.,,,,,
EBT,,,EBT-Empresa Brasileira de Terminais e Armazens Gerais Ltda.,,,03110981000118
ECHOENERGIA PARTICIPACOES,Echoenergia Participacoes S.A.,,,,,24743678000122
ECO SECURITIZADORA 2019,"Eco Securitizadora 2019-12-1,2 (JSL)",,,,,
ECO SECURITIZADORA 2021,Eco Securitizadora 2021-90-1 (Vix),,,,,
ECO SECURITIZADORA 2022,"Eco Securitizadora 2022-140-1,2 (FS)",,,,,10.753.164/0001-43
ECO SECURITIZADORA 2023,"Eco Securitizadora 2023-243-1,2 (FS)",,,,,10.753.164/0001-43
ECO SECURITIZADORA 2024,"Eco Securitizadora 2024-331-1,2 (FS)",,,,,10.753.164/0001-43
ECO SECURITIZADORA 2025,"Eco Securitizadora 2025-384-1,2,3 (FS)",,,,,10.753.164/0001-43
ECO SECURITIZADORA 2026,"Eco Securitizadora 2026-466-1,2,3,4 (BRF)",,,,,10.753.164/0001-43
ECO SECURITIZADORA DIREITOS CREDITORIOS AGRONEGOCIO,,Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 1ª e 2ª Series da 295ª Emissão de CRAs (Risco Be8),Eco Securitizadora de Direitos Creditorios do Agronegocio S.A.,,Eco Securitizadora de Direitos Creditórios do Agronegócio S.A.,10753164000143
ECO050,ECO050 - Concessionaria de Rodovias S.A.,,,,,19208022000170
ECO050 CONCESSIONARIA RODOVIAS,,,Eco050 Concessionaria de Rodovias S.A.,,,19208022000170
ECO101 CONCESSIONARIA RODOVIAS,,,ECO101 Concessionaria de Rodovias S.A.,,,15484093000144
ECOAGRO II FIAGRO RESPONSABILIDADE,,,ECOAGRO II FIAGRO Responsabilidade Ltda.,,,62604084000120
ECOAGRO INSUMOS FIDC NP,,,,ECOAGRO INSUMOS FIDC NP - SUBORDINADAS MEZANINO,,
ECORIOMINAS CONCESSIONARIA RODOVIAS,,,EcoRioMinas Concessionaria de Rodovias S.A.,,,29884545000190
ECORODOVIAS CONCESSOES SERVICOS,Ecorodovias Concessoes e Servicos S.A.,,Ecorodovias Concessoes e Servicos S.A.,,,08873873000110
EDGE COMERCIALIZACAO,,Edge Comercialização S.A.,,,,19046324000199
EDISON FIDC,,,,EDISON FIDC - SENIORES 4ª SÉRIE,,
EDP ENERGIAS,EDP Energias do Brasil S.A.,EDP Energias do Brasil S.A.,,,,03983431000103
EDP ESPIRITO SANTO DISTRIBUICAO ENERGIA,,EDP Espírito Santo Distribuição de Energia S.A.,,,,28152650000171
EDP SAO PAULO DISTRIBUICAO ENERGIA,,EDP São Paulo Distribuição de Energia S.A.,,,,02302100000106
EDP TRANSMISSAO NORTE NORDESTE II,EDP Transmissao Norte Nordeste II S.A.,,,,,
EDTE,EDTE -Empresa Diamantina de Transmissao de Energia S.A.,,,,,
EFFICIENTIA FIDC,,,,EFFICIENTIA FIDC - SENIORES ÚNICA,,
EFI,Efi S.A. - Instituicao de Pagamento,,,,,
EKTT09 SERVICOS TRANSMISSAO ENERGIA ELETRICA SPE,,,EKTT09 Servicos de Transmissao de Energia Eletrica SPE S.A.,,,28438777000402
ELDORADO CELULOSE,Eldorado Brasil Celulose S.A.,,,,,07401436000131
ELDORADO FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO,,,,,ELDORADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,30127068000105
ELEA DIGITAL INFRAESTRUTURA REDES TELECOMUNICACOES,Elea Digital Infraestrutura e Redes de Telecomunicacoes S.A.,,,,,35980592000130
ELECTRA PCH BURITI SPE,,Electra PCH Buriti SPE S.A.,,,,04547015000125
ELEKEIROZ,Elekeiroz S/A,Elekeiroz S.A.,,,,10362796000186
ELEKTRO REDES,,,Elektro Redes S.A.,,,02328280000197
ELETROBRAS CHESF,,,Eletrobras CHESF,,,33541368000116
ELETRONET FIDC,,,,ELETRONET FIDC - SENIORES 1ª SÉRIE,,
ELETRONORTE,,,ELETRONORTE,,,00988906000166
ELETROPAULO METROPOLITANA ELETRICIDADE SAO PAULO,Eletropaulo Metropolitana Eletricidade de Sao Paulo S.A.,Eletropaulo Metropolitana de Eletricidade de São Paulo S.A. (Enel Distribuição São Paulo),,,,61695227000193
ELETRORIVER,Eletroriver S/A,,,,,
ELFA MEDICAMENTOS,Elfa Medicamentos S.A.,,,,,09053134000145
ELLEVE NPL FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,ELLEVE NPL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADOS,47117740000176
EMAE,EMAE - Empresa Metropolitana de Aguas e Energia S.A.,,,,,02302101000142
EMBRAER,Embraer S.A.,,,,,07689002000189
EMCCAMP RESIDENCIAL,,,Emccamp Residencial S.A.,,,19403252000190
EMERGENCIA PARTICIPACOES,Emergencia Participacoes S.A.,,,,,
EMPIRICA DEBENTURES FIDC,,,,EMPÍRICA DEBÊNTURES FIDC  - ÚNICA,,
EMPIRICA SOBERANO,,,Empirica Soberano - Fundo de Investimento Renda Fixa Referenciado DI,,,17249303000145
EMPREENDIMENTOS PAGUE MENOS,Empreendimentos Pague Menos S.A.,,,,,06626253000151
EMPRESA AMAZONENSE TRANSMISSAO ENERGIA,,Empresa Amazonense de Transmissão de Energia S.A.,,,,04416935000104
EMPRESA BAIANA AGUAS SANEAMENTO,,Empresa Baiana de Águas e Saneamento S.A. - EMBASA,,,,13504675000110
EMPRESA CATARINENSE TRANSMISSAO ENERGIA,,Empresa Catarinense de Transmissão de Energia S.A.,,,,03.984.987/0001-14
EMPRESA ENERGIA CACHOEIRA CALDEIRAO,Empresa de Energia Cachoeira Caldeirao S.A.,,,,,
EMPRESA ENERGIA SAO MANOEL,Empresa de Energia Sao Manoel S.A.,,,,,
EMPRESA NORTE TRANSMISSAO ENERGIA,,Empresa Norte de Transmissão de Energia S.A.,,,,05321987000160
EMPRESA PARAENSE TRANSMISSAO ENERGIA,,Empresa Paraense de Transmissão de Energia S.A.,,,,04416923000180
EMPRESA SUDESTE TRANSMISSAO ENERGIA,Empresa Sudeste de Transmissao de Energia S.A.,,,,,
EMPRESARIAL FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISEGMENTOS,,,,,EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,07727757000120
EMS,,,EMS S.A.,,,57507378001256
ENEL,Enel Brasil S.A.,,,,,
ENEL GREEN POWER DAMASCENA EOLICA,Enel Green Power Damascena Eolica S.A.,,,,,
ENEL GREEN POWER MANICOBA EOLICA,Enel Green Power Manicoba Eolica S.A.,,,,,
ENEL GREEN POWER VOLTA GRANDE,Enel Green Power Volta Grande S.A.,,,,,25176391000120
ENERGETICA FIDC,,,,ENERGÉTICA FIDC - SUBORDINADAS JÚNIOR,,
ENERGISA,Energisa S.A.,,Energisa S.A.,,,00864214000106
ENERGISA ACRE,Energisa Acre - Distribuidora de Energia S.A.,,,,,
ENERGISA MATO GROSSO,Energisa Mato Grosso - Distribuidora de Energia S.A.,,Energisa Mato Grosso - Distribuidora de Energia S.A.,,,03467321000199
ENERGISA MATO GROSSO SUL,Energisa Mato Grosso do Sul - Distribuidora de Energia S.A.,,Energisa Mato Grosso do Sul - Distribuidora de Energia S.A.,,,15413826000150
ENERGISA MINAS RIO,Energisa Minas Rio - Distribuidora de Energia S.A.,,,,,19527639000158
ENERGISA PARAIBA,Energisa Paraiba - Distribuidora de Energia S/A,,Energisa Paraiba-Distribuidora de Energia S.A.,,,09095183000140
ENERGISA RONDONIA DISTRIBUIDORA ENERGIA,Energisa Rondonia Distribuidora de Energia S.A.,,,,,
ENERGISA SERGIPE,Energisa Sergipe - Distribuidora de Energia S/A,,Energisa Sergipe-Distribuidora de Energia S.A.,,,13017462000163
ENERGISA SUL SUDESTE,Energisa Sul Sudeste - Distribuidora de Energia S/A,,,,,
ENERGISA TOCANTINS,Energisa Tocantins - Distribuidora de Energia S/A,,,,,
ENERGISA TRANSMISSAO ENERGIA,Energisa Transmissao de Energia S.A.,,,,,28201130000101
ENEVA,Eneva S.A.,,ENEVA S.A.,,,04423567000121
ENGIE ENERGIA,Engie Brasil Energia S.A.,,,,,02474103000119
ENGIE SOLUCOES CIDADES INTELIGENTES INFRAESTRUTURA UBERLANDIA,Engie Solucoes Cidades Inteligentes e Infraestrutura de Uberlandia S.A.,,,,,
ENKI FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO,,,,,ENKI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE LIMITADA,49939512000107
