dt_captura,no_emissor,link,no_tipo_rating,de_rating_br,de_rating_cp,de_rating_lp,dt_acao_rating,de_acao_rating,de_outlook,link_relatorio
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brCCC,,brCCC,2024-08-15,Confirmação,Estável,https://www.austin.com.br/Relatorio/Rating/Access_FIDC/11200
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brCCC,,brCCC,2022-08-12,Confirmação,Estável,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2020-04-02,Observação Negativa,,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2019-08-02,Observação Negativa,,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2019-05-16,Observação Negativa,,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2019-02-14,Observação Negativa,,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2019-02-14,Encerramento,,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2018-11-13,Observação Negativa,,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2018-08-01,Confirmação,Estável,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2018-06-21,Confirmação,Estável,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2018-02-26,Observação Negativa,,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2017-09-01,Observação Negativa,,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2017-05-29,Confirmação,Estável,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2017-02-15,Confirmação,Estável,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2016-12-05,Confirmação,Estável,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2016-08-18,Confirmação,Estável,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2016-04-06,Rating Inicial,Estável,
2026-09-25,ACCESS FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/2395/Access_FIDC_-_Subordinadas_Júnior_,FIDCs,brCC,,brCC,2024-08-15,Confirmação,Estável,https://www.austin.com.br/Relatorio/Rating/Access_FIDC/11201
2026-09-25,ACCESS FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/2395/Access_FIDC_-_Subordinadas_Júnior_,FIDCs,brCC,,brCC,2022-08-12,Confirmação,Estável,
2026-09-25,ACCESS FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/2395/Access_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2020-04-02,Observação Negativa,,
2026-09-25,ACCESS FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/2395/Access_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2019-08-02,Observação Negativa,,
2026-09-25,ACCESS FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/2395/Access_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2019-05-16,Observação Negativa,,
2026-09-25,ACCESS FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/2395/Access_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2019-02-14,Observação Negativa,,
2026-09-25,ACCESS FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/2395/Access_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2018-11-13,Observação Negativa,,
2026-09-25,ACCESS FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/2395/Access_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2018-08-01,Confirmação,Estável,
2026-09-25,ACCESS FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/2395/Access_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2018-06-21,Confirmação,Estável,
2026-09-25,ACCESS FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/2395/Access_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2018-02-26,Observação Negativa,,
2026-09-25,ACCESS FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/2395/Access_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2017-09-01,Observação Negativa,,
2026-09-25,ACCESS FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/2395/Access_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2017-05-29,Confirmação,Estável,
2026-09-25,ACCESS FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/2395/Access_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2017-02-15,Confirmação,Estável,
2026-09-25,ACCESS FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/2395/Access_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2016-12-05,Confirmação,Estável,
2026-09-25,ACCESS FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/2395/Access_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2016-08-18,Confirmação,Estável,
2026-09-25,ACCESS FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/2395/Access_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2016-04-06,Rating Inicial,Estável,
