dt_captura,no_emissor,no_setor,link
2026-09-25,PINE LIFT I CARTÃO INSS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS – RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29173
2026-09-25,MAIS TODOS PF FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS FINANCEIRO RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29172
2026-09-25,INOVA CREDTECH III FIDC SEGMENTO MULTICARTEIRA DE RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29179
2026-09-25,Fundo de Investimento em Direitos Creditórios Empírica Mezzo Saúde,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29178
2026-09-25,CISS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS PRESTACAO DE SERVICOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29176
2026-09-25,HARPIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS – RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29167
2026-09-25,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EMPÍRICA HOME EQUITY,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29165
2026-09-25,BOREAL I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS  - RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29144
2026-09-25,LARCA CONSIGNADO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29154
2026-09-25,SIMPLIX CONSIGNADO PRIVADO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESP LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29162
2026-09-25,SIMPLIX CONSIGNADO PRIVADO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESP LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29045
2026-09-25,Lotus Performance Fundo de Investimento em Direitos Creditórios Multissetorial LP,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29166
2026-09-25,MULTI RECEBÍVEIS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29163
2026-09-25,AFA CREDIT OPPORTUNITY FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29161
2026-09-25,MULTI RECEBÍVEIS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29159
2026-09-25,KOBOLD H FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29160
2026-09-25,Fundo de Investimento Em Direitos Creditórios Empírica Oportuna Precatórios Federais,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29157
2026-09-25,SINAI CONSIG FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29164
2026-09-25,AURI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29133
2026-09-25,IOX PME FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29131
2026-09-25,Lotus Performance Fundo de Investimento em Direitos Creditórios Multissetorial LP,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29152
2026-09-25,LARCA CONSIGNADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29147
2026-09-25,LCBANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29149
2026-09-25,GARSON BR FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29111
2026-09-25,Garson Fundo de Investimento em Direitos Creditórios,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29116
2026-09-25,GARSON CARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29106
2026-09-25,ARGENTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MERCANTIS DE RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29151
2026-09-25,RCL3X FIAGRO - DIREITOS CREDITÓRIOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29128
2026-09-25,COOPERA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29069
