emissor,cnpj,razao_rfb,razao_cvm,status,obs
FUNDO INVESTIMENTO DIREITOS CREDITORIOS,51.983.832/0001-06,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - ACR IV,,✅,match exato (RFB)
BANCO TRATON,52067630000187,BANCO TRATON BRASIL S.A.,,✅,match exato (RFB)
REPUBLICA FEDERATIVA,52148956000139,COLIGACAO BRASILEIRA DOS GUARDAS MUNICIPAIS DA REPUBLICA FEDERATIVA DO BRASIL - COLEGA,,⚠️,match parcial (substring leniente) (RFB)
FIDC KIWIFY,52.271.464/0001-36,KIWIFY FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE,,✅,match exato (leniente) (RFB)
VIA APPIA CONCESSOES,52538988000140,VIA APPIA CONCESSOES S.A.,,✅,match exato (RFB)
JSL,52548435000179,JSL S.A.,,✅,match exato (RFB)
CONSIGNADO PLGN I FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,52596071000100,CONSIGNADO PLGN I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS CLIENTES BRF II,52720932000102,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS CLIENTES BRF II,,✅,match exato (RFB)
ATHON GERACAO DISTRIBUIDA III,52948225000178,ATHON GERACAO DISTRIBUIDA III S.A.,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS NOTO CONSIGNADOS,52989090000199,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NOTO CONSIGNADOS - RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
MINUM GENCO GERADORA,53043876000181,MINUM GENCO GERADORA S.A.,,✅,match exato (RFB)
THOPEN SOLAR 55 SPE,53074942000180,THOPEN SOLAR 55 SPE S.A,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS CREDITAS AUTO X,53095241000128,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS CREDITAS AUTO X - RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
TOTVS,53113791000122,TOTVS S.A.,,✅,match exato (RFB)
IS SOL AGORA GREEN II ESG FIDC SEGMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,53164652000128,IS SOL AGORA GREEN II ESG FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
USINA SAO JOSE ESTIVA ACUCAR ALCOOL,53172300000114,USINA SAO JOSE DA ESTIVA SA ACUCAR E ALCOOL,,✅,match exato (RFB)
SUNO ENERGIAS LIMPAS PROJETOS MADUROS,53192626000103,SUNO ENERGIAS LIMPAS PROJETOS MADUROS S.A,,✅,match exato (RFB)
FIDC GUARDIAN INSS FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,53211671000168,FIDC GUARDIAN INSS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
CONSIGNADOS VIII FUNDO INVESTIMENTO DIREITOS CREDITORIOS,53286391000119,CONSIGNADOS VIII FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
STONE SOCIEDADE CREDITO,53505601000112,"STONE SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO S.A",,✅,match exato (RFB)
PNEUCASH FIDC,53662209000187,PNEUCASH FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DE CLASSE UNICA FECHADA - RESP LTDA,,✅,match exato (leniente) (RFB)
COMPANHIA JAGUARI ENERGIA,53859112000169,COMPANHIA JAGUARI DE ENERGIA,,✅,match exato (RFB)
COOPERATIVA CREDITO CREDICITRUS,54037916000145,COOPERATIVA DE CREDITO CREDICITRUS,,✅,match exato (RFB)
