emissor,cnpj,razao_rfb,razao_cvm,status,obs
MAGALUPAY,61021673000112,"MAGALUPAY - SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.",,✅,match exato (RFB)
AGUAS PARA SPE,61067901000195,AGUAS DO PARA A SPE S.A.,,✅,match exato (RFB)
AGUAS PARA B SPE,61067902000130,AGUAS DO PARA B SPE S.A.,,✅,match exato (RFB)
AGUAS PARA D SPE,61067904000129,AGUAS DO PARA D SPE S.A.,,✅,match exato (RFB)
BANCO MIZUHO,61088183000133,BANCO MIZUHO DO BRASIL S.A.,,✅,match exato (RFB)
IOCHPE,61156113003190,IOCHPE-MAXION S.A.,,✅,match exato (RFB)
BANCO BMG,61186680000174,BANCO BMG S.A,,✅,match exato (RFB)
BYX MOZART FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,61188091000125,BYX MOZART FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - CREDITO CONSIGNADO RESP. LIMITADA,,⚠️,match parcial (substring leniente) (RFB)
EUROFARMA LABORATORIOS,61190096000192,EUROFARMA LABORATORIOS S.A.,,✅,match exato (RFB)
ER 2030 FIDC,61267293000162,ER 2030 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,✅,match exato (leniente) (RFB)
PINE INSS FUNDO INVESTIMENTO DIREITOS CREDITORIOS SEGMENTO FINANCEIRO RESP LIMITADA,61271872000189,PINE INSS  FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SEGMENTO  FINANCEIRO RESP LIMITADA,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS ASAAS III,61292200000150,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS ASAAS III - RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
BANCO C6 CONSIGNADO,61348538000186,BANCO C6 CONSIGNADO S.A.,,✅,match exato (RFB)
FIDC STELLANTIS FINANCIAMENTOS MOBILITY I,61351481000174,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS STELLANTIS MOBILITY I - RESPONSABILIDADE LIMITADA,,⚠️,match parcial (2/2 palavras) (RFB)
DIAGNOSTICOS AMERICA,61486650000183,DIAGNOSTICOS DA AMERICA S.A .,,✅,match exato (leniente) (RFB)
DELGA INDUSTRIA COMERCIO,61532198000149,DELGA INDUSTRIA E COMERCIO S/A,,✅,match exato (RFB)
ITAUSA,61532644000115,ITAUSA S.A.,,✅,match exato (RFB)
BANCO SOCIETE GENERALE,61533584000155,BANCO SOCIETE GENERALE BRASIL S.A.,,✅,match exato (RFB)
ITAU SEGUROS,61557039000107,ITAU SEGUROS S/A,,✅,match exato (RFB)
RAIA DROGASIL,61585865000151,RAIA DROGASIL S/A,,✅,match exato (RFB)
COMPANHIA ULTRAGAZ,61602199000112,COMPANHIA ULTRAGAZ S A,,✅,match exato (RFB)
ELETROPAULO METROPOLITANA ELETRICIDADE SAO PAULO,61695227000193,ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.,,✅,match exato (RFB)
SRBT SUBHOLDING,61741462000154,SRBT SUBHOLDING S.A.,,✅,match exato (RFB)
BANCO PAULISTA,61820817000109,BANCO PAULISTA S.A.,,✅,match exato (RFB)
COMPANHIA GAS SAO PAULO,61856571000117,COMPANHIA DE GAS DE SAO PAULO COMGAS,,⚠️,match parcial (substring leniente) (RFB)
FUNDO INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS,61929180000185,FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - GRUPO AGROCP - RESP LTDA,,✅,match exato (RFB)
FUNDO INVESTIMENTOS DIREITOS CREDITORIOS MT FGTS RECEIVABLES IV,62.010.175/0001-37,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MT FGTS RECEIVABLES IV,,⚠️,match parcial (substring leniente) (RFB)
COMPANHIA METROPOLITANO SAO PAULO,62070362000106,COMPANHIA DO METROPOLITANO DE SAO PAULO - METRO,,✅,match exato (RFB)
BANK OF AMERICA MERRILL LYNCH BANCO MULTIPLO,62073200000121,BANK OF AMERICA MERRILL LYNCH BANCO MULTIPLO S.A.,,✅,match exato (RFB)
BANCO DAYCOVAL,62232889000190,BANCO DAYCOVAL S.A.,,✅,match exato (RFB)
BANCO STELLANTIS,62237425000176,BANCO STELLANTIS S.A.,,✅,match exato (RFB)
MT INSS RECEIVABLES VI FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,62310468000130,MT INSS RECEIVABLES VI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
DEUTSCHE BANK,62331228000111,DEUTSCHE BANK SA BANCO ALEMAO,,⚠️,match parcial (substring leniente) (RFB)
BRADESCO ASSET MANAGEMENT,62375134000144,BRAM - BRADESCO ASSET MANAGEMENT S.A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,,⚠️,match parcial (substring leniente) (RFB)
BRAM,62375134000144,BRAM - BRADESCO ASSET MANAGEMENT S.A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,,✅,match exato (RFB)
CLOUDWALK BELA FUNDO INVESTIMENTO DIREITOS CREDITORIOS SEGMENTO MEIOS PAGAMENTO,62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SEGMENTO MEIOS DE PAGAMENTO,,✅,match exato (RFB)
FIDC MEDICI I,62393829000159,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS COMERCIAIS MEDICI I - RESPONSABILIDADE LIMITADA,,✅,match exato (leniente) (RFB)
MULTIPLIKE FINANCEIRA SOCIEDADE CREDITO,62448932000159,"MULTIPLIKE FINANCEIRA S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO",,✅,match exato (RFB)
ECOAGRO II FIAGRO RESPONSABILIDADE,62604084000120,ECOAGRO II FIAGRO,,✅,match exato (leniente) (RFB)
SUMUP SMART I FIDC SEGMENTO MEIOS PAGAMENTO RESPONSABILIDADE LIMITADA,62626409000175,SUMUP SMART I FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
SUMUP SMART IV FIDC SEGMENTO MEIOS PAGAMENTO RESPONSABILIDADE LIMITADA,62626887000185,SUMUP SMART IV FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
SUMUP SMART II FIDC SEGMENTO MEIOS PAGAMENTO RESPONSABILIDADE LIMITADA,62627051000103,SUMUP SMART II FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
SUMUP SMART III FIDC SEGMENTO MEIOS PAGAMENTO RESPONSABILIDADE LIMITADA,62627122000160,SUMUP SMART III FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
ALBIOMA SOLAR PARTICIPACOES,62947412000271,ALBIOMA SOLAR PARTICIPACOES S.A.,,✅,match exato (RFB)
CRUZEIRO SUL EDUCACIONAL,62984091000102,CRUZEIRO DO SUL EDUCACIONAL S.A.,,✅,match exato (RFB)
IORQ FREDERIC FUNDO INVESTIMENTO DIREITOS CREDITORIOS,63032712000102,IORQ FREDERIC FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
LARCA AURORA FUNDO INVESTIMENTO DIREITOS CREDITORIOS CONSIGNADO RESPONSABILIDADE LIMITADA,63168433000170,LARCA AURORA FUNDO DE INVESTIMENTO  EM DIREITOS CREDITORIOS CONSIGNADO DE RESPONSABILIDADE  LIMITADA,,✅,match exato (RFB)
PINE INSS II FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,63321684000143,PINE INSS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS  RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS STELLANTIS MOBILITY II,63322011000108,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS STELLANTIS MOBILITY II - RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
SOLFACIL CREDITO PESSOAL VII FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,63.505.455/0001-89,SOLFACIL CREDITO  PESSOAL VII FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS  RESP LIMITADA,,✅,match exato (leniente) (RFB)
PINE INSS III FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,63546406000194,PINE INSS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS  RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS SANTANDER AUTO LOANS I SEGMENTO FINANCEIRO,63662224000189,FIDC SANTANDER AUTO LOANS I SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,,✅,match exato (leniente) (RFB)
ICRED CHOPIN INSS FIDC,63733796000101,ICRED CHOPIN INSS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,✅,match exato (leniente) (RFB)
SPAR I SUBHOLDING,63779546000102,SPAR I SUBHOLDING S.A.,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS SOMACRED VEGA SICILIA ASSISTENCIA FINANCEIRA RESP,63845478000132,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SOMACRED VEGA SICILIA ASSISTENCIA FINANCEIRA RESP LTDA,,✅,match exato (RFB)
COOPERATIVA CENTRAL CREDITO ESTADO SAO PAULO,63917579000171,COOPERATIVA CENTRAL DE CREDITO DO ESTADO DE SAO PAULO - SICOOB SAO PAULO,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS SOL AGORA IV,64330030000149,WAREHOUSE SOL AGORA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SEGMENTO FINANCEIRO RESP LIMITADA,,⚠️,match parcial (6/6 palavras) (RFB)
ARVIN CAPITAL FUNDO INVESTIMENTO DIREITOS CREDITORIOS RECEBIVEIS COMERCIAIS RESP LIMITADA,64756643000142,ARVIN CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RECEBIVEIS COMERCIAIS RESP LIMITADA,,✅,match exato (RFB)
SICREDI ASSET MANAGEMENT,64786921000104,SICREDI ASSET MANAGEMENT LTDA,,✅,match exato (RFB)
CAMIL ALIMENTOS,64904295000103,CAMIL ALIMENTOS S.A.,,✅,match exato (RFB)
WEG INTEGRADORES FUNDO INVESTIMENTO DIREITOS CREDITORIOS RECEBIVEIS COMERCIAIS RESPONSABILIDADE LIMITADA,65220183000104,RECEBIVEIS COMERCIAIS 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESP LIMITADA,,⚠️,match parcial (7/8 palavras) (RFB)
ICRED INSS III FIDC,65347578000164,ICRED INSS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,✅,match exato (leniente) (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS PICPAY FGTS II,65839682000176,FUNDO DE INVESTIMENTOS EM DIREITOS CREDITORIOS PICPAY FGTS II DE RESPONSABILIDADE LIMITADA,,⚠️,match parcial (substring leniente) (RFB)
SAFRA ASSET CORRETORA TITULOS VALORES MOBILIARIOS,65913436000117,SAFRA ASSET CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS AGIBANK II RESPONSABILIDADE LIMITADA,65976848000104,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS AGIBANK II RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
VIA PAULISTA,66203811000106,VIA PAULISTA LTDA,,✅,match exato (RFB)
RNI NEGOCIOS IMOBILIARIOS,67010660000124,RNI NEGOCIOS IMOBILIARIOS S.A.,,✅,match exato (RFB)
COOPERATIVA CREDITO CREDICOCAPEC,67096909000166,COOPERATIVA DE CREDITO CREDICOCAPEC,,✅,match exato (RFB)
MINERVA,67620377000114,MINERVA S.A.,,✅,match exato (RFB)
FRIGOL,68067446000681,FRIGOL S.A.,,✅,match exato (RFB)
ICATU VANGUARDA GESTAO RECURSOS,68622174000120,ICATU VANGUARDA GESTAO DE RECURSOS LTDA.,,✅,match exato (RFB)
BANCO RENDIMENTO,68900810000138,BANCO RENDIMENTO S/A,,✅,match exato (RFB)
GAS ALAGOAS,69983484000132,GAS DE ALAGOAS S/A ALGAS,,⚠️,match parcial (substring leniente) (RFB)
BANCO BS2,71027866000134,BANCO BS2 S.A.,,✅,match exato (RFB)
ALGAR TELECOM,71208516000174,ALGAR TELECOM S/A,,✅,match exato (RFB)
SICOOB COCRED COOPERATIVA CREDITO,71328769000181,SICOOB COCRED COOPERATIVA DE CREDITO,,✅,match exato (RFB)
CONSTRUTORA TENDA,71476527000135,CONSTRUTORA TENDA S/A,,✅,match exato (RFB)
NATURA COSMETICOS,71673990000177,NATURA COSMETICOS S/A,,✅,match exato (RFB)
COOPERATIVA CRED MEDICOS DENTISTAS PROF AREA SAUDE LIVRE ADMISSAO ESTADO SAO PAULO UNICRED ESTADO SAO PAULO,71884498003751,COOPERATIVA DE CREDITO UNICRED DO ESTADO DE SAO PAULO LTDA.,,⚠️,match parcial (4/4 palavras) (RFB)
DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO RECURSOS,72027832000102,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,,✅,match exato (RFB)
SWISS RE CORPORATE SOLUTIONS SEGUROS,72145931000199,SWISS RE CORPORATE SOLUTIONS BRASIL SEGUROS S.A.,,✅,match exato (RFB)
COMPANHIA GAS ESTADO RIO GRANDE SUL,72300122000104,COMPANHIA DE GAS DO ESTADO DO RIO GRANDE DO SUL - SULGAS,,✅,match exato (RFB)
CYRELA BRAZIL REALTY EMPREENDIMENTOS PARTICIPACOES,73178600000118,CYRELA BRAZIL REALTY S.A. EMPREENDIMENTOS E PARTICIPACOES,,✅,match exato (RFB)
PRATI,73856593000166,"PRATI, DONADUZZI & CIA LTDA",,✅,match exato (RFB)
COOPERATIVA CREDITO UNICRED VALOR CAPITAL,74064502000112,COOPERATIVA DE CREDITO UNICRED VALOR CAPITAL LTDA - UNICRED VALOR CAPITAL,,✅,match exato (RFB)
COOPERATIVA CREDITO UNICRED UNIAO,74114042000190,COOPERATIVA DE CREDITO UNICRED UNIAO LTDA - UNICRED UNIAO,,✅,match exato (RFB)
ATACADAO,75315333000109,ATACADAO S.A.,,✅,match exato (RFB)
UNIDAS LOCACOES SERVICOS,75609123000123,UNIDAS LOCACOES E SERVICOS S/A,,✅,match exato (RFB)
BANCO CREDIT AGRICOLE,75647891000171,BANCO CREDIT AGRICOLE BRASIL S.A.,,✅,match exato (RFB)
COPACOL,76093731000190,COPACOL-COOPERATIVA AGROINDUSTRIAL CONSOLATA,,✅,match exato (RFB)
FRISIA COOPERATIVA AGROINDUSTRIAL,76107770000108,FRISIA COOPERATIVA AGROINDUSTRIAL,,✅,match exato (RFB)
CASTROLANDA,76108349000103,CASTROLANDA - COOPERATIVA AGROINDUSTRIAL LTDA,,✅,match exato (RFB)
ESTADO PARANA,76416940000128,ESTADO DO PARANA,,✅,match exato (RFB)
PARANA,76416940000128,ESTADO DO PARANA,,✅,match exato (leniente) (RFB)
COMPANHIA PARANAENSE ENERGIA,76483817000120,COMPANHIA PARANAENSE DE ENERGIA - COPEL,,✅,match exato (RFB)
COMPANHIA SANEAMENTO PARANA,76484013000145,COMPANHIA DE SANEAMENTO DO PARANA SANEPAR,,⚠️,match parcial (substring leniente) (RFB)
OI,76535764000143,OI S.A. - EM RECUPERACAO JUDICIAL,,✅,match exato (RFB)
LAR COOPERATIVA AGROINDUSTRIAL,77752293000198,LAR COOPERATIVA AGROINDUSTRIAL,,✅,match exato (RFB)
OURIBANK BANCO MULTIPLO,78632767000120,OURIBANK S.A. BANCO MULTIPLO,,✅,match exato (RFB)
HAVAN,79379491000183,HAVAN S.A,,✅,match exato (RFB)
FARMACIA DROGARIA NISSEI,79430682000122,FARMACIA E DROGARIA NISSEI S.A,,✅,match exato (RFB)
SENIOR SISTEMAS,80680093000181,SENIOR SISTEMAS S.A.,,✅,match exato (RFB)
POSITIVO TECNOLOGIA,81243735000148,POSITIVO TECNOLOGIA S.A.,,✅,match exato (RFB)
COMPANHIA CATARINENSE AGUAS SANEAMENTO,82508433000117,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO CASAN,,⚠️,match parcial (substring leniente) (RFB)
COOPERATIVA CREDITO VALE ITAJAI,82639451000138,COOPERATIVA DE CREDITO VALE DO ITAJAI   VIACREDI,,⚠️,match parcial (substring leniente) (RFB)
CREMER,82641325000118,CREMER S.A.,,✅,match exato (RFB)
INTELBRAS INDUSTRIA TELECOMUNICACAO ELETRONICA BRASILEIRA,82901000000127,INTELBRAS S.A. INDUSTRIA DE TELECOMUNICACAO ELETRONICA BRASILEIRA,,✅,match exato (RFB)
AGENCIA FOMENTO ESTADO SANTA CATARINA,82937293000100,AGENCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A. - BADESC,,✅,match exato (RFB)
ADAMI,83054478000121,ADAMI SA MADEIRAS,,⚠️,match parcial (substring leniente) (RFB)
PBG,83475913000191,PBG S/A,,✅,match exato (RFB)
CENTRAIS ELETRICAS SANTA CATARINA,83878892000155,CENTRAIS ELETRICAS DE SANTA CATARINA SA,,✅,match exato (RFB)
TUPY,84683374000149,TUPY S/A,,✅,match exato (RFB)
CIA. LATINO AMERICANA MEDICAMENTOS,84.683.481/0685-61,CIA LATINO AMERICANA DE MEDICAMENTOS,,⚠️,match parcial (substring leniente) (RFB)
TIGRE PARTICIPACOES,84684455000163,TIGRE S.A. PARTICIPACOES,,✅,match exato (RFB)
JUNTO SEGUROS,84948157000133,JUNTO SEGUROS S.A.,,✅,match exato (RFB)
GONCALVES TORTOLA,85070068000108,GONCALVES & TORTOLA S/A,,✅,match exato (RFB)
ADAMI MADEIRAS,87790606000156,ADAMI MADEIRAS LTDA,,✅,match exato (RFB)
BORRACHAS VIPAL,87870952000144,BORRACHAS VIPAL S.A.,,✅,match exato (RFB)
OLEOPLAN,88676127000176,OLEOPLAN S.A. OLEOS VEGETAIS PLANALTO,,⚠️,match parcial (substring leniente) (RFB)
RANDONCORP,89086144000116,RANDONCORP S.A.,,✅,match exato (RFB)
SLC AGRICOLA,89096457000155,SLC AGRICOLA S.A.,,✅,match exato (RFB)
KLABIN,89637490000145,KLABIN S.A.,,✅,match exato (RFB)
BANCO SANTANDER,90400888000142,BANCO SANTANDER (BRASIL) S.A.,,✅,match exato (RFB)
DM SOCIEDADE CREDITO,91669747000192,DM SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA,,⚠️,match parcial (substring leniente) (RFB)
OLFAR,91830836000179,OLFAR S/A - ALIMENTO E ENERGIA,,✅,match exato (RFB)
BANCO JOHN DEERE,91884981000132,BANCO JOHN DEERE S.A.,,✅,match exato (RFB)
OMNI,92228410000102,OMNI S/A CREDITO FINANCIAMENTO E INVESTIMENTO,,⚠️,match parcial (substring leniente) (RFB)
DIMED DISTRIBUIDORA MEDICAMENTOS,92665611000177,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,,✅,match exato (leniente) (RFB)
ASSOCIACAO HOSPITALAR MOINHOS VENTO,92685833000151,ASSOCIACAO HOSPITALAR MOINHOS DE VENTO,,✅,match exato (RFB)
COMPANHIA ESTADUAL TRANSMISSAO ENERGIA ELETRICA,92715812000131,CPFL TRANSMISSAO S.A.,,⚠️,match parcial (1/2 palavras) (RFB)
CPFL TRANSMISSAO,92715812000131,CPFL TRANSMISSAO S.A.,,✅,match exato (RFB)
LOJAS RENNER,92754738000162,LOJAS RENNER S.A.,,✅,match exato (RFB)
IRANI PAPEL EMBALAGEM,92791243000103,IRANI PAPEL E EMBALAGEM S.A.,,✅,match exato (RFB)
COMPANHIA RIOGRANDENSE SANEAMENTO,92802784000190,COMPANHIA RIOGRANDENSE DE SANEAMENTO - CORSAN,,✅,match exato (RFB)
BANCO REGIONAL DESENVOLVIMENTO EXTREMO SUL,92816560000137,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL,,✅,match exato (RFB)
BANCO DIGIMAIS,92874270000140,BANCO DIGIMAIS S.A.,,✅,match exato (RFB)
BANCO ORIGINAL,92894922002828,BANCO ORIGINAL S/A,,✅,match exato (RFB)
COOPERATIVA ECONOMIA CREDITO MUTUO MEDICOS PORTO ALEGRE,94433109000166,COOP DE ECON E CRED MUTUO DOS MEDICOS DE P ALEGRE LTDA,,⚠️,match parcial (2/3 palavras) (RFB)
TRES TENTOS AGROINDUSTRIAL,94813102000170,TRES TENTOS AGROINDUSTRIAL S/A,,✅,match exato (RFB)
PACAEMBU CONSTRUTORA,96298013000168,PACAEMBU CONSTRUTORA S.A.,,✅,match exato (RFB)
DEXCO,97837181000147,DEXCO S.A,,✅,match exato (RFB)
