dt_captura,no_emissor,link
2026-09-25,Refrescos Bandeirantes Indústria e Comércio Ltda.,
2026-09-25,Rio Paranapanema Energia S.A.,
2026-09-25,Rio Paraná Energia S.A.,
2026-09-25,SLC Agrícola S.A.,
2026-09-25,SYN Prop e Tech S.A.,
2026-09-25,Saneamento De Goiás S.A. - Saneago,
2026-09-25,Santa Maria Administração e Participação S.A.,
2026-09-25,Seara Alimentos Ltda.,
2026-09-25,Simpar S.A.,
2026-09-25,Sociedade Beneficente Israelita Brasileira Hospital Albert Einstein,
2026-09-25,Softplan S.A.,
2026-09-25,Solar Bebidas S.A.,
2026-09-25,Sorocaba Refrescos S.A.,
2026-09-25,State Grid Brazil Holding S.A.,
2026-09-25,Sul Concessões e Participações S.A.,
2026-09-25,Suzano S.A.,
2026-09-25,São Carlos Empreendimentos e Participações S.A.,
2026-09-25,Telefônica Brasil S.A.,
2026-09-25,Thopen Energia S.A. (sucessora da RZK Energia S.A.),
2026-09-25,Top Service Serviços e Sistemas S.A.,
2026-09-25,Transmissora Aliança de Energia Elétrica S.A. (TAESA),
2026-09-25,Transportadora Associada de Gás S.A. - TAG,
2026-09-25,Tucano Holding II S.A.,
2026-09-25,Ultracargo Logística S.A.,
2026-09-25,Ultrapar Participações S.A.,
2026-09-25,Unidas Locadora S.A.,
2026-09-25,Unidas Locações e Serviços S.A.,
2026-09-25,Usinas Siderúrgicas de Minas Gerais S.A. - Usiminas,
2026-09-25,Vale S.A.,
2026-09-25,Valid Soluções S.A.,
2026-09-25,"Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.",
2026-09-25,Vibra Energia S.A.,
2026-09-25,Votorantim S.A.,
2026-09-25,Ânima Holding S.A.,
2026-09-25,Afinitty Fundo de Investimento em Cotas de Fundo de Investimento em Direitos Ceditórios,
2026-09-25,Arvin Capital Fundo de Investimento em Direitos Creditórios Recebíveis Comerciais Resp Limitada,
2026-09-25,BRZ Consignados V Fundo de Investimento em Direitos Creditórios - Responsabilidade Limitada,
2026-09-25,BV AUTO III Segmento Financeiro Fundo de Investimento em Direitos Creditórios Responsabilidade Limitada,
2026-09-25,BYX Mozart Fundo de Investimento em Direitos Creditórios Responsabilidade Limitada,
2026-09-25,Banco C6 e Travessia - 16ª Debenture Estruturada (INSS),
2026-09-25,Cartão de Compra Supplier Fundo de Investimento em Direitos Creditórios III - Responsabilidade Limitada,
2026-09-25,Casa de Pedra Securitizadora de Crédito S.A. - Série Única da 19ª Emissão de CRIs (Risco Thopen Energy),
2026-09-25,Chemical XIV Fundo de Investimento em Direitos Creditórios,
2026-09-25,Cloudwalk A.I. Fundo de Investimento em Direitos Creditórios Segmento Meios de Pagamento,
2026-09-25,Cloudwalk Bela Fundo de Investimento em Direitos Creditórios Segmento Meios de Pagamento,
2026-09-25,Cloudwalk Big Picture I Fundo de Investimento em Direitos Creditórios Segmento Meios de Pagamento,
2026-09-25,Cloudwalk Big Picture II Fundo de Investimento em Direitos Creditórios Segmento Meios de Pagamento,
2026-09-25,Cloudwalk Big Picture III Fundo de Investimento em Direitos Creditórios Segmento Meios de Pagamento,
2026-09-25,Cloudwalk Big Picture IV Fundo de Investimento em Direitos Creditórios Segmento Meios de Pagamento,
2026-09-25,Cloudwalk FIDC 09 2026,
2026-09-25,Cobuccio I Fundo de Investimento Em Direitos Creditórios - Segmento Meios de Pagamento Responsabilidade Limitada,
2026-09-25,Companhia Província de Securitização - 101ª Emissão de CRIs (Risco CashMe),
2026-09-25,Companhia Província de Securitização - 133ª Emissão de CRIs (Risco CashMe),
2026-09-25,"Companhia Província de Securitização - 1ª, 2ª e 3ª Séries da 102ª Emissão de CRIs (Risco Cyrela)",
2026-09-25,"Companhia Província de Securitização - 1ª, 2ª e 3ª Séries da 127ª Emissão de CRIs (Risco Cyrela)",
2026-09-25,"Companhia Província de Securitização. - 1ª, 2ª e 3ª Séries da 57ª Emissão de CRIs (Risco Cyrela)",
2026-09-25,Consignado PLGN I Fundo de Investimento em Direitos Creditórios Responsabilidade Limitada,
2026-09-25,Consignados V Fundo de Investimento em Direitos Creditórios - Responsabilidade Limitada,
2026-09-25,Consignados VI Fundo de Investimento em Direitos Creditórios - Responsabilidade Limitada,
2026-09-25,Consignados VIII Fundo de Investimento em Direitos Creditórios  – Responsabilidade Limitada,
2026-09-25,Creditcorp Securitizadora S.A. - 1ª e 2ª Séries da 7ª Emissão de Debêntures (Prata Digital),
2026-09-25,Driver Brasil Six Banco Volkswagen FIDC - Financiamento de Veículos,
2026-09-25,Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 1ª e 2ª Series da 295ª Emissão de CRAs (Risco Be8),
2026-09-25,Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 1ª e 2ª Séries da 342ª Emissão de CRAs (Risco Sorocaba Refrescos),
2026-09-25,Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 1ª e 2ª Séries da 426ª Emissão de CRAs (Risco Alibem),
2026-09-25,Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 1ª e 2ª Séries da 93ª Emissão de CRAs (Risco Vamos),
2026-09-25,"Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 1ª, 2ª e 3ª Séries da 233ª Emissão de CRAs (Risco Vamos)",
2026-09-25,"Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 1ª, 2ª e 3ª Séries da 292ª Emissão de CRAs (Risco Camil)",
2026-09-25,"Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 1ª, 2ª e 3ª Séries da 296ª Emissão de CRAs (Risco Vamos)",
2026-09-25,"Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 1ª, 2ª e 3ª Séries da 309ª Emissão de CRAs (Risco JSL)",
2026-09-25,"Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 1ª, 2ª e 3ª Séries da 329ª Emissão de CRAs (Risco Camil)",
2026-09-25,"Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 1ª, 2ª, 3ª e 4ª Séries da 389ª Emissão de CRAs (Risco Camil)",
2026-09-25,"Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 1ª, 2ª, 3ª e 4ª Séries da 419ª Emissão de CRAs (Risco JBS)",
2026-09-25,Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 2ª Série da 23ª Emissão de CRAs (Risco Vamos),
2026-09-25,Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - Série Única da 54ª Emissão de CRAs (Risco Vamos),
2026-09-25,Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - Série Única da 81ª Emissão de CRAs (Risco Vamos),
2026-09-25,Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - Série Única da 92ª Emissão de CRAs (Risco JSL),
2026-09-25,FIDC Cloudwalk Pi,
