dt_captura,agencia,no_emissor_padronizado,no_emissor_original,no_tipo_rating,de_rating_br,de_outlook,dt_acao_rating,link
2026-09-19,Moody's,XP GESTAO RECURSOS,XP Gestão de Recursos Ltda.,Avaliações de Qualidade de Gestor de Investimentos,MQ1.br,-,2025-03-24,
2026-09-19,Moody's,XP VISTA ASSET MANAGEMENT,XP Vista Asset Management Ltda.,Avaliações de Qualidade de Gestor de Investimentos,MQ1.br,-,2025-03-24,
2026-09-19,Moody's,BRVIAS HOLDING VRD,BRVias Holding VRD S.A.,Rating de Emissor,A.br,Perspectiva estável,2026-01-14,
2026-09-19,Moody's,CONCESSIONARIA RODOANEL OESTE,Concessionaria do Rodoanel Oeste S.A.,Rating de Emissor,AA+.br,Perspectiva estável,2026-08-10,
2026-09-19,Moody's,CONCESSIONARIA RODOVIA LAGOS,Concessionária da Rodovia dos Lagos S.A. (CCR ViaLagos),Rating de Emissor,AA.br,Perspectiva estável,2025-10-21,
2026-09-19,Moody's,CONCESSIONARIA SISTEMA ANHANGUERA,Concessionária do Sistema Anhanguera-Bandeirantes S.A. (CCR AutoBAn),Rating de Emissor,AAA.br,Perspectiva estável,2025-07-07,
2026-09-19,Moody's,LAJEADO ENERGIA,Lajeado Energia S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2025-12-26,
2026-09-19,Moody's,RODOVIAS INTEGRADAS OESTE,Rodovias Integradas do Oeste S.A. (CCR SPVias),Rating de Emissor,AA.br,Perspectiva estável,2025-09-03,
2026-09-19,Moody's,SERRA FACAO ENERGIA,Serra do Facão Energia S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2026-06-09,
2026-09-19,Moody's,ESTADO MARANHAO,Estado do Maranhão,Rating de Emissor,AA+.br,Perspectiva estável,2026-01-16,
2026-09-19,Moody's,ESTADO PARANA,Estado do Paraná,Rating de Emissor,AAA.br,Perspectiva estável,2025-11-03,
2026-09-20,Moody's,AMBEV,AMBEV S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2026-03-17,
2026-09-20,Moody's,ADAMI,Adami S.A. - Madeiras,Rating de Emissor,AA-.br,Perspectiva estável,2026-04-23,
2026-09-20,Moody's,AEGEA SANEAMENTO PARTICIPACOES,Aegea Saneamento e Participações S.A.,Rating Corporativo,AA-.br,Perspectiva estável,2025-12-23,
2026-09-20,Moody's,AFYA PARTICIPACOES,Afya Participações S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2026-05-05,
2026-09-20,Moody's,ALIBEM ALIMENTOS,Alibem Alimentos S.A.,Rating de Emissor,A.br,Perspectiva estável,2026-09-02,
2026-09-20,Moody's,ALLOS,Allos S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2026-03-18,
2026-09-20,Moody's,ARGO ENERGIA EMPREENDIMENTOS PARTICIPACOES,Argo Energia Empreendimentos e Participações S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2025-09-16,
2026-09-20,Moody's,ARMAC LOCACAO,"Armac Locação, Logistica e Serviços S.A.",Rating de Emissor,AA-.br,Perspectiva estável,2026-03-12,
2026-09-20,Moody's,ASSOCIACAO HOSPITALAR MOINHOS VENTO,Associação Hospitalar Moinhos de Vento,Rating de Emissor,AA.br,Perspectiva estável,2026-08-11,
2026-09-20,Moody's,AUREN ENERGIA,Auren Energia S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2026-03-20,
2026-09-20,Moody's,AUREN OPERACOES,Auren Operações S.A. (sucessora de AES Brasil Operações S.A.),Rating de Emissor,AAA.br,Perspectiva estável,2026-03-20,
2026-09-20,Moody's,B3,"B3 S.A. – Brasil, Bolsa, Balcão",Rating Corporativo,AAA.br,Perspectiva estável,2026-05-20,
2026-09-20,Moody's,BRK AMBIENTAL,BRK Ambiental - Mauá S.A.,Rating de Emissor,AA.br,Perspectiva estável,2026-04-10,
2026-09-20,Moody's,BRK AMBIENTAL,BRK Ambiental - Uruguaiana S.A.,Rating de Emissor,AA.br,Perspectiva estável,2024-12-13,
