dt_captura,agencia,no_emissor_padronizado,no_emissor_original,no_tipo_rating,de_rating_br,de_outlook,dt_acao_rating,link
2026-09-04,Austin,IN,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA. – COOPERFORTE,Corporativo,brA+,Positiva,2025-06-25,https://www.austin.com.br/Historico-Rating/4579/Cooperativa_de_Economia_e_Crédito_Mútuo_de_Funcionários_de_Instituições_Financeiras_Públicas_Federais_Ltda_–_Cooperforte
2026-09-04,Austin,IN,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA. – COOPERFORTE,Corporativo,brA+,Positiva,2024-07-10,https://www.austin.com.br/Historico-Rating/4579/Cooperativa_de_Economia_e_Crédito_Mútuo_de_Funcionários_de_Instituições_Financeiras_Públicas_Federais_Ltda_–_Cooperforte
2026-09-25,Austin,APUAMA CAPITAL GESTORA RECURSOS,APUAMA CAPITAL GESTORA DE RECURSOS LTDA.,Gestão,QG3,Estável,2024-03-21,https://www.austin.com.br/Historico-Rating/4425/Apuama_Capital_Gestora_de_Recursos_Ltda
2026-09-25,Austin,AREA GESTAO RECURSOS TERCEIROS BANESTES DTVM,ÁREA DE GESTÃO DE RECURSOS DE TERCEIROS DA BANESTES DTVM,Gestão,QG2-,Estável,2025-08-22,https://www.austin.com.br/Historico-Rating/5018/Área_de_Gestão_de_Recursos_de_Terceiros_da_Banestes_DTVM
2026-09-25,Austin,ARTESANAL INVESTIMENTOS,ARTESANAL INVESTIMENTOS LTDA.,Gestão,QG2-,Estável,2024-11-27,https://www.austin.com.br/Historico-Rating/3814/Artesanal_Investimentos_Ltda
2026-09-25,Austin,ARTESANAL INVESTIMENTOS,ARTESANAL INVESTIMENTOS LTDA.,Gestão,QG2-,Estável,2023-12-08,https://www.austin.com.br/Historico-Rating/3814/Artesanal_Investimentos_Ltda
2026-09-25,Austin,ARTESANAL INVESTIMENTOS,ARTESANAL INVESTIMENTOS LTDA.,Gestão,QG2-,Estável,2022-09-20,https://www.austin.com.br/Historico-Rating/3814/Artesanal_Investimentos_Ltda
2026-09-25,Austin,ARTESANAL INVESTIMENTOS,ARTESANAL INVESTIMENTOS LTDA.,Gestão,QG2-,Estável,2021-05-28,https://www.austin.com.br/Historico-Rating/3814/Artesanal_Investimentos_Ltda
2026-09-25,Austin,ARTESANAL SECURITIZADORA CREDITOS,ARTESANAL SECURITIZADORA DE CRÉDITOS S.A.,Securitizadoras,brA,Estável,2026-06-17,https://www.austin.com.br/Historico-Rating/5242/Artesanal_Securitizadora_de_Créditos_SA
2026-09-25,Austin,BANCO BARI INVESTIMENTOS FINANCIAMENTOS,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,Bancos,brBBB,Estável,2023-12-13,https://www.austin.com.br/Historico-Rating/4367/Banco_Bari_de_Investimentos_e_Financiamentos_SA_
2026-09-25,Austin,BANCO BRADESCO,BANCO BRADESCO,Governança Corporativa,brAA+,,2014-12-17,https://www.austin.com.br/Historico-Rating/15/Banco_Bradesco
2026-09-25,Austin,BANCO BRADESCO,BANCO BRADESCO,Governança Corporativa,brAA+,,2011-12-22,https://www.austin.com.br/Historico-Rating/15/Banco_Bradesco
2026-09-25,Austin,BANCO BRADESCO,BANCO BRADESCO,Governança Corporativa,brAA,Estável,2008-08-14,https://www.austin.com.br/Historico-Rating/15/Banco_Bradesco
2026-09-25,Austin,BANCO BRADESCO,BANCO BRADESCO,Governança Corporativa,brAA,Estável,2005-09-27,https://www.austin.com.br/Historico-Rating/15/Banco_Bradesco
2026-09-25,Austin,BANRISUL CORRETORA VALORES CAMBIO,BANRISUL S/A CORRETORA DE VALORES E CÂMBIO,Gestão,QG3+,Estável,2023-05-30,https://www.austin.com.br/Historico-Rating/3047/Banrisul_S_A_Corretora_de_Valores_e_Câmbio
2026-09-25,Austin,BANRISUL CORRETORA VALORES CAMBIO,BANRISUL S/A CORRETORA DE VALORES E CÂMBIO,Gestão,QG3+,Estável,2021-05-27,https://www.austin.com.br/Historico-Rating/3047/Banrisul_S_A_Corretora_de_Valores_e_Câmbio
2026-09-25,Austin,BANRISUL CORRETORA VALORES CAMBIO,BANRISUL S/A CORRETORA DE VALORES E CÂMBIO,Gestão,QG3+,Estável,2018-06-05,https://www.austin.com.br/Historico-Rating/3047/Banrisul_S_A_Corretora_de_Valores_e_Câmbio
2026-09-25,Austin,BARI COMPANHIA HIPOTECARIA,BARI COMPANHIA HIPOTECÁRIA,Cias Hipotecárias,brA-,Estável,2026-04-22,https://www.austin.com.br/Historico-Rating/5179/Bari_Companhia_Hipotecária
2026-09-25,Austin,BANCO SEMEAR,BANCO SEMEAR S/A,Bancos,brBBB-,Estável,2023-12-27,https://www.austin.com.br/Historico-Rating/1909/Banco_Semear_S_A
2026-09-25,Austin,BANCO SEMEAR,BANCO SEMEAR S/A,Bancos,brBBB,Estável,2021-12-23,https://www.austin.com.br/Historico-Rating/1909/Banco_Semear_S_A
2026-09-25,Austin,BANCO SEMEAR,BANCO SEMEAR S/A,Bancos,brBBB,Estável,2020-01-15,https://www.austin.com.br/Historico-Rating/1909/Banco_Semear_S_A
2026-09-25,Austin,BANCO SEMEAR,BANCO SEMEAR S/A,Bancos,brBBB-,Estável,2016-06-22,https://www.austin.com.br/Historico-Rating/1909/Banco_Semear_S_A
2026-09-25,Austin,BANCO SEMEAR,BANCO SEMEAR S/A,Bancos,brBBB-,Estável,2014-05-27,https://www.austin.com.br/Historico-Rating/1909/Banco_Semear_S_A
2026-09-25,Austin,CONSTANCIA INVESTIMENTOS,CONSTÂNCIA INVESTIMENTOS,Gestão,QG2-,Estável,2023-09-12,https://www.austin.com.br/Historico-Rating/2855/Constância_Investimentos
2026-09-25,Austin,CONSTANCIA INVESTIMENTOS,CONSTÂNCIA INVESTIMENTOS,Gestão,QG2-,Estável,2021-09-02,https://www.austin.com.br/Historico-Rating/2855/Constância_Investimentos
2026-09-25,Austin,CONSTANCIA INVESTIMENTOS,CONSTÂNCIA INVESTIMENTOS,Gestão,QG3,Estável,2018-09-13,https://www.austin.com.br/Historico-Rating/2855/Constância_Investimentos
2026-09-25,Austin,COOPERFORTE COOPERATIVA CREDITO INVESTIMENTOS,COOPERFORTE COOPERATIVA DE CRÉDITO E INVESTIMENTOS LTDA.,Corporativo,brA+,Positiva,2026-07-01,https://www.austin.com.br/Historico-Rating/4579/Cooperforte_Cooperativa_de_Crédito_e_Investimentos_Ltda
2026-09-25,Austin,COOPERFORTE COOPERATIVA CREDITO INVESTIMENTOS,COOPERFORTE COOPERATIVA DE CRÉDITO E INVESTIMENTOS LTDA.,Corporativo,brA+,Positiva,2025-06-25,https://www.austin.com.br/Historico-Rating/4579/Cooperforte_Cooperativa_de_Crédito_e_Investimentos_Ltda
2026-09-25,Austin,COOPERFORTE COOPERATIVA CREDITO INVESTIMENTOS,COOPERFORTE COOPERATIVA DE CRÉDITO E INVESTIMENTOS LTDA.,Corporativo,brA+,Positiva,2024-07-10,https://www.austin.com.br/Historico-Rating/4579/Cooperforte_Cooperativa_de_Crédito_e_Investimentos_Ltda
2026-09-25,Austin,DAE,DAE S.A. – ÁGUA E ESGOTO,Corporativo,brAA,Positiva,2025-08-29,https://www.austin.com.br/Historico-Rating/4586/DAE_SA_–_ÁGUA_E_ESGOTO
2026-09-25,Austin,DAE,DAE S.A. – ÁGUA E ESGOTO,Corporativo,brAA,Positiva,2024-07-31,https://www.austin.com.br/Historico-Rating/4586/DAE_SA_–_ÁGUA_E_ESGOTO
2026-09-25,Austin,DAE,DAE S.A. – ÁGUA E ESGOTO,Corporativo,brAA,Estável,2023-05-31,https://www.austin.com.br/Historico-Rating/4586/DAE_SA_–_ÁGUA_E_ESGOTO
2026-09-25,Austin,ESTADO PIAUI,ESTADO DO PIAUÍ,Estados e Municípios,brA-,Estável,2018-11-13,https://www.austin.com.br/Historico-Rating/3074/Estado_do_Piauí
2026-09-25,Austin,ESTADO SAO PAULO,ESTADO DE SÃO PAULO,Estados e Municípios,brAA-,Estável,2014-05-29,https://www.austin.com.br/Historico-Rating/266/Estado_de_São_Paulo
2026-09-25,Austin,ESTADO SAO PAULO,ESTADO DE SÃO PAULO,Estados e Municípios,brA+,Negativa,2009-05-27,https://www.austin.com.br/Historico-Rating/266/Estado_de_São_Paulo
2026-09-25,Austin,ESTADO SAO PAULO,ESTADO DE SÃO PAULO,Estados e Municípios,brA+,Estável,2007-03-05,https://www.austin.com.br/Historico-Rating/266/Estado_de_São_Paulo
2026-09-25,Austin,GENIAL GESTAO,GENIAL GESTÃO LTDA.,Gestão,QG2,Estável,2023-06-13,https://www.austin.com.br/Historico-Rating/4475/Genial_Gestão_Ltda
2026-09-25,Austin,GUEPARDO INVESTIMENTOS,GUEPARDO INVESTIMENTOS LTDA.,Gestão,QG2,Estável,2023-11-13,https://www.austin.com.br/Historico-Rating/4474/Guepardo_Investimentos_Ltda
2026-09-25,Austin,HIX INVESTIMENTOS,HIX INVESTIMENTOS,Gestão,QG3+,Estável,2023-11-21,https://www.austin.com.br/Historico-Rating/2856/HIX_Investimentos
2026-09-25,Austin,HIX INVESTIMENTOS,HIX INVESTIMENTOS,Gestão,QG3+,Estável,2021-08-23,https://www.austin.com.br/Historico-Rating/2856/HIX_Investimentos
2026-09-25,Austin,HIX INVESTIMENTOS,HIX INVESTIMENTOS,Gestão,QG3+,Estável,2018-01-03,https://www.austin.com.br/Historico-Rating/2856/HIX_Investimentos
2026-09-25,Austin,KINEA INVESTIMENTOS,KINEA INVESTIMENTOS LTDA.,Gestão,QG1,Estável,2023-08-08,https://www.austin.com.br/Historico-Rating/3034/Kinea_Investimentos_Ltda
2026-09-25,Austin,KINEA INVESTIMENTOS,KINEA INVESTIMENTOS LTDA.,Gestão,QG2+,Estável,2022-02-10,https://www.austin.com.br/Historico-Rating/3034/Kinea_Investimentos_Ltda
2026-09-25,Austin,KINEA INVESTIMENTOS,KINEA INVESTIMENTOS LTDA.,Gestão,QG2+,Estável,2020-10-20,https://www.austin.com.br/Historico-Rating/3034/Kinea_Investimentos_Ltda
2026-09-25,Austin,KINEA INVESTIMENTOS,KINEA INVESTIMENTOS LTDA.,Gestão,QG2+,Estável,2019-08-27,https://www.austin.com.br/Historico-Rating/3034/Kinea_Investimentos_Ltda
2026-09-25,Austin,MULTINVEST CAPITAL ADMINISTRADORA RECURSOS,MULTINVEST CAPITAL ADMINISTRADORA DE RECURSOS LTDA.,Gestão,QG3,Estável,2023-05-30,https://www.austin.com.br/Historico-Rating/1624/Multinvest_Capital_Administradora_de_Recursos_Ltda_
2026-09-25,Austin,MULTINVEST CAPITAL ADMINISTRADORA RECURSOS,MULTINVEST CAPITAL ADMINISTRADORA DE RECURSOS LTDA.,Gestão,QG3,Estável,2022-04-24,https://www.austin.com.br/Historico-Rating/1624/Multinvest_Capital_Administradora_de_Recursos_Ltda_
2026-09-25,Austin,MULTINVEST CAPITAL ADMINISTRADORA RECURSOS,MULTINVEST CAPITAL ADMINISTRADORA DE RECURSOS LTDA.,Gestão,QG3-,Positiva,2015-06-29,https://www.austin.com.br/Historico-Rating/1624/Multinvest_Capital_Administradora_de_Recursos_Ltda_
2026-09-25,Austin,MULTINVEST CAPITAL ADMINISTRADORA RECURSOS,MULTINVEST CAPITAL ADMINISTRADORA DE RECURSOS LTDA.,Gestão,QG3-,Estável,2014-03-10,https://www.austin.com.br/Historico-Rating/1624/Multinvest_Capital_Administradora_de_Recursos_Ltda_
2026-09-25,Austin,MULTINVEST CAPITAL ADMINISTRADORA RECURSOS,MULTINVEST CAPITAL ADMINISTRADORA DE RECURSOS LTDA.,Gestão,QG3-,Estável,2013-07-19,https://www.austin.com.br/Historico-Rating/1624/Multinvest_Capital_Administradora_de_Recursos_Ltda_
2026-09-25,Austin,MUNICIPIO OSASCO,MUNICÍPIO DE OSASCO,Estados e Municípios,brAA,Estável,2022-08-19,https://www.austin.com.br/Historico-Rating/4068/Município_de_Osasco
2026-09-25,Austin,MUNICIPIO GUARULHOS,MUNICÍPIO DE GUARULHOS,Estados e Municípios,brA+,Estável,2012-10-03,https://www.austin.com.br/Historico-Rating/292/Município_de_Guarulhos
2026-09-25,Austin,MUNICIPIO GUARULHOS,MUNICÍPIO DE GUARULHOS,Estados e Municípios,brA-,Positiva,2008-04-04,https://www.austin.com.br/Historico-Rating/292/Município_de_Guarulhos
2026-09-25,Austin,MUNICIPIO GUARULHOS,MUNICÍPIO DE GUARULHOS,Estados e Municípios,brA-,Estável,2007-06-22,https://www.austin.com.br/Historico-Rating/292/Município_de_Guarulhos
2026-09-25,Austin,MUNICIPIO CONTAGEM,MUNICÍPIO DE CONTAGEM,Estados e Municípios,brA-,Estável,2019-03-07,https://www.austin.com.br/Historico-Rating/3133/Município_de_Contagem
2026-09-25,Austin,MUNICIPIO JUNDIAI,MUNICÍPIO DE JUNDIAÍ,Estados e Municípios,brAA+,Estável,2024-10-18,https://www.austin.com.br/Historico-Rating/394/Município_de_Jundiaí
2026-09-25,Austin,MUNICIPIO JUNDIAI,MUNICÍPIO DE JUNDIAÍ,Estados e Municípios,brAA+,Estável,2023-10-20,https://www.austin.com.br/Historico-Rating/394/Município_de_Jundiaí
2026-09-25,Austin,MUNICIPIO JUNDIAI,MUNICÍPIO DE JUNDIAÍ,Estados e Municípios,brAA,Positiva,2022-05-20,https://www.austin.com.br/Historico-Rating/394/Município_de_Jundiaí
2026-09-25,Austin,MUNICIPIO JUNDIAI,MUNICÍPIO DE JUNDIAÍ,Estados e Municípios,brAA,Estável,2020-08-12,https://www.austin.com.br/Historico-Rating/394/Município_de_Jundiaí
2026-09-25,Austin,MUNICIPIO JUNDIAI,MUNICÍPIO DE JUNDIAÍ,Estados e Municípios,brAA-,Positiva,2019-05-31,https://www.austin.com.br/Historico-Rating/394/Município_de_Jundiaí
2026-09-25,Austin,MUNICIPIO JUNDIAI,MUNICÍPIO DE JUNDIAÍ,Estados e Municípios,brAA-,Estável,2018-12-03,https://www.austin.com.br/Historico-Rating/394/Município_de_Jundiaí
2026-09-25,Austin,MUNICIPIO JUNDIAI,MUNICÍPIO DE JUNDIAÍ,Estados e Municípios,brAA-,Estável,2018-01-02,https://www.austin.com.br/Historico-Rating/394/Município_de_Jundiaí
2026-09-25,Austin,MUNICIPIO JUNDIAI,MUNICÍPIO DE JUNDIAÍ,Estados e Municípios,brAA,Estável,2012-10-03,https://www.austin.com.br/Historico-Rating/394/Município_de_Jundiaí
2026-09-25,Austin,MUNICIPIO JUNDIAI,MUNICÍPIO DE JUNDIAÍ,Estados e Municípios,brAA-,Positiva,2011-07-01,https://www.austin.com.br/Historico-Rating/394/Município_de_Jundiaí
2026-09-25,Austin,MUNICIPIO JUNDIAI,MUNICÍPIO DE JUNDIAÍ,Estados e Municípios,brA+,Positiva,2010-07-01,https://www.austin.com.br/Historico-Rating/394/Município_de_Jundiaí
2026-09-25,Austin,MUNICIPIO JUNDIAI,MUNICÍPIO DE JUNDIAÍ,Estados e Municípios,brA+,Estável,2009-09-01,https://www.austin.com.br/Historico-Rating/394/Município_de_Jundiaí
2026-09-25,Austin,MUNICIPIO JUNDIAI,MUNICÍPIO DE JUNDIAÍ,Estados e Municípios,brA,Estável,2008-08-14,https://www.austin.com.br/Historico-Rating/394/Município_de_Jundiaí
2026-09-25,Austin,MUNICIPIO SANTOS,MUNICÍPIO DE SANTOS,Estados e Municípios,brAA,Estável,2015-12-18,https://www.austin.com.br/Historico-Rating/683/Município_de_Santos
2026-09-25,Austin,MUNICIPIO SANTOS,MUNICÍPIO DE SANTOS,Estados e Municípios,,,2013-02-01,https://www.austin.com.br/Historico-Rating/683/Município_de_Santos
2026-09-25,Austin,MUNICIPIO SANTOS,MUNICÍPIO DE SANTOS,Estados e Municípios,brAA,Positiva,2012-03-01,https://www.austin.com.br/Historico-Rating/683/Município_de_Santos
2026-09-25,Austin,MUNICIPIO SANTOS,MUNICÍPIO DE SANTOS,Estados e Municípios,brAA,Estável,2010-12-30,https://www.austin.com.br/Historico-Rating/683/Município_de_Santos
2026-09-25,Austin,PROPRIO CAPITAL GESTAO RECURSOS,PRÓPRIO CAPITAL GESTÃO DE RECURSOS LTDA.,Gestão,QG3,Estável,2024-01-31,https://www.austin.com.br/Historico-Rating/3955/Próprio_Capital_Gestão_de_Recursos_Ltda
2026-09-25,Austin,PROPRIO CAPITAL GESTAO RECURSOS,PRÓPRIO CAPITAL GESTÃO DE RECURSOS LTDA.,Gestão,QG3,Estável,2022-12-22,https://www.austin.com.br/Historico-Rating/3955/Próprio_Capital_Gestão_de_Recursos_Ltda
2026-09-25,Austin,PROPRIO CAPITAL GESTAO RECURSOS,PRÓPRIO CAPITAL GESTÃO DE RECURSOS LTDA.,Gestão,QG3,Estável,2021-12-02,https://www.austin.com.br/Historico-Rating/3955/Próprio_Capital_Gestão_de_Recursos_Ltda
2026-09-25,Austin,REPUBLICA FEDERATIVA,REPÚBLICA FEDERATIVA DO BRASIL (ESCALA GLOBAL),Soberano,brBB+,Positiva,2023-07-26,https://www.austin.com.br/Historico-Rating/170/República_Federativa_do_Brasil_(Escala_Global)
2026-09-25,Austin,REPUBLICA FEDERATIVA,REPÚBLICA FEDERATIVA DO BRASIL (ESCALA GLOBAL),Soberano,brBB+,Estável,2022-08-11,https://www.austin.com.br/Historico-Rating/170/República_Federativa_do_Brasil_(Escala_Global)
2026-09-25,Austin,REPUBLICA FEDERATIVA,REPÚBLICA FEDERATIVA DO BRASIL (ESCALA GLOBAL),Soberano,brBB+,Negativa,2021-12-13,https://www.austin.com.br/Historico-Rating/170/República_Federativa_do_Brasil_(Escala_Global)
2026-09-25,Austin,REPUBLICA FEDERATIVA,REPÚBLICA FEDERATIVA DO BRASIL (ESCALA GLOBAL),Soberano,brBB+,Negativa,2016-12-06,https://www.austin.com.br/Historico-Rating/170/República_Federativa_do_Brasil_(Escala_Global)
2026-09-25,Austin,REPUBLICA FEDERATIVA,REPÚBLICA FEDERATIVA DO BRASIL (ESCALA GLOBAL),Soberano,brBB+,Estável,2015-07-23,https://www.austin.com.br/Historico-Rating/170/República_Federativa_do_Brasil_(Escala_Global)
2026-09-25,Austin,REPUBLICA FEDERATIVA,REPÚBLICA FEDERATIVA DO BRASIL (ESCALA GLOBAL),Soberano,brBBB-,Estável,2014-10-31,https://www.austin.com.br/Historico-Rating/170/República_Federativa_do_Brasil_(Escala_Global)
2026-09-25,Austin,REPUBLICA FEDERATIVA,REPÚBLICA FEDERATIVA DO BRASIL (ESCALA GLOBAL),Soberano,brBBB,Estável,2012-08-24,https://www.austin.com.br/Historico-Rating/170/República_Federativa_do_Brasil_(Escala_Global)
2026-09-25,Austin,REPUBLICA FEDERATIVA,REPÚBLICA FEDERATIVA DO BRASIL (ESCALA GLOBAL),Soberano,brBBB-,Estável,2009-12-23,https://www.austin.com.br/Historico-Rating/170/República_Federativa_do_Brasil_(Escala_Global)
2026-09-25,Austin,REPUBLICA FEDERATIVA,REPÚBLICA FEDERATIVA DO BRASIL (ESCALA GLOBAL),Soberano,brBB+,Estável,2008-05-30,https://www.austin.com.br/Historico-Rating/170/República_Federativa_do_Brasil_(Escala_Global)
2026-09-25,Austin,REPUBLICA FEDERATIVA,REPÚBLICA FEDERATIVA DO BRASIL (ESCALA GLOBAL),Soberano,brBB,Estável,2006-03-21,https://www.austin.com.br/Historico-Rating/170/República_Federativa_do_Brasil_(Escala_Global)
2026-09-25,Austin,SICOOB COOPECREDI,SICOOB COOPECREDI,Corporativo,brA,Estável,2024-03-01,https://www.austin.com.br/Historico-Rating/3488/Sicoob_Coopecredi
2026-09-25,Austin,SICOOB COOPECREDI,SICOOB COOPECREDI,Corporativo,brA-,Estável,2022-03-14,https://www.austin.com.br/Historico-Rating/3488/Sicoob_Coopecredi
2026-09-25,Austin,SICOOB COOPECREDI,SICOOB COOPECREDI,Corporativo,brA-,Estável,2021-02-22,https://www.austin.com.br/Historico-Rating/3488/Sicoob_Coopecredi
2026-09-25,Austin,SICOOB COOPECREDI,SICOOB COOPECREDI,Corporativo,brA-,Estável,2020-03-12,https://www.austin.com.br/Historico-Rating/3488/Sicoob_Coopecredi
2026-09-25,Austin,SICOOB CREDICOM,SICOOB CREDICOM,Corporativo,brBBB+,Estável,2022-03-14,https://www.austin.com.br/Historico-Rating/3096/Sicoob_Credicom
2026-09-25,Austin,SICOOB CREDICOM,SICOOB CREDICOM,Corporativo,brBBB+,Estável,2021-06-21,https://www.austin.com.br/Historico-Rating/3096/Sicoob_Credicom
2026-09-25,Austin,SICOOB CREDICOM,SICOOB CREDICOM,Corporativo,brBBB+,Estável,2020-06-12,https://www.austin.com.br/Historico-Rating/3096/Sicoob_Credicom
2026-09-25,Austin,SICOOB CREDICOM,SICOOB CREDICOM,Corporativo,brBBB+,Estável,2018-12-27,https://www.austin.com.br/Historico-Rating/3096/Sicoob_Credicom
2026-09-25,Austin,SKADE CAPITAL,SKADE CAPITAL,Gestão,QG3,Estável,2026-06-08,https://www.austin.com.br/Historico-Rating/5250/Skade_Capital
2026-09-25,Austin,SPECTRA INVESTIMENTOS,SPECTRA INVESTIMENTOS,Gestão,QG2,Estável,2024-08-19,https://www.austin.com.br/Historico-Rating/4755/Spectra_Investimentos
2026-09-25,Austin,V. C. M. GESTAO CAPITAL,V. C. M. GESTÃO DE CAPITAL LTDA.,Gestão,QG2-,Estável,2023-09-05,https://www.austin.com.br/Historico-Rating/3634/V_C_M_Gestão_de_Capital_Ltda
2026-09-25,Austin,V. C. M. GESTAO CAPITAL,V. C. M. GESTÃO DE CAPITAL LTDA.,Gestão,QG2-,Estável,2021-08-20,https://www.austin.com.br/Historico-Rating/3634/V_C_M_Gestão_de_Capital_Ltda
2026-09-25,Austin,V. C. M. GESTAO CAPITAL,V. C. M. GESTÃO DE CAPITAL LTDA.,Gestão,QG2-,Estável,2021-08-20,https://www.austin.com.br/Historico-Rating/3634/V_C_M_Gestão_de_Capital_Ltda
2026-09-25,Austin,V. C. M. GESTAO CAPITAL,V. C. M. GESTÃO DE CAPITAL LTDA.,Gestão,QG2-,Estável,2021-08-20,https://www.austin.com.br/Historico-Rating/3634/V_C_M_Gestão_de_Capital_Ltda
2026-09-25,Austin,V. C. M. GESTAO CAPITAL,V. C. M. GESTÃO DE CAPITAL LTDA.,Gestão,QG3+,,2020-10-20,https://www.austin.com.br/Historico-Rating/3634/V_C_M_Gestão_de_Capital_Ltda
2026-06-05,Fitch,LOGISTICA AMBIENTAL SAO PAULO,Log-In Logistica Intermodal S.A.,National Long Term Rating,WD(bra),,2025-06-05,https://www.fitchratings.com/entity/log-in-logistica-intermodal-sa-96910097
2026-08-06,Fitch,MOVIDA LOCACAO VEICULOS,Movida Locacao de Veiculos S.A.,National Long Term Rating,WD(bra),,2025-08-06,https://www.fitchratings.com/entity/movida-locacao-de-veiculos-sa-97423224
2026-08-07,Fitch,COMPANHIA LOCACAO AMERICAS,Companhia de Locacao das Americas - LOCAMERICA,National Long Term Rating,WD(bra),,2025-08-07,https://www.fitchratings.com/entity/companhia-de-locacao-das-americas-locamerica-89286661
2026-08-29,Fitch,MILLS LOCACAO SERVICOS LOGISTICA,"Mills Locacao, Servicos e Logistica S.A.",National Long Term Rating,WD(bra),,2025-08-29,https://www.fitchratings.com/entity/mills-estruturas-e-servicos-de-engenharia-sa-96795007
2026-09-25,Fitch,QI PARTICIPACOES,QI Participacoes Ltda.,National Long Term Rating,AA(bra),Rating Outlook Stable,2026-09-25,https://www.fitchratings.com/entity/qi-participacoes-sa-97525815
2026-09-25,Fitch,QI PARTICIPACOES,QI Participacoes Ltda.,National Short Term Rating,F1+(bra),,2026-09-25,https://www.fitchratings.com/entity/qi-participacoes-sa-97525815
2026-09-25,Fitch,QI SOCIEDADE CREDITO DIRETO,QI Sociedade de Credito Direto S.A.,National Long Term Rating,AA(bra),Rating Outlook Stable,2026-09-25,https://www.fitchratings.com/entity/qi-sociedade-de-credito-direto-sa-97480532
2026-09-25,Fitch,QI SOCIEDADE CREDITO DIRETO,QI Sociedade de Credito Direto S.A.,National Short Term Rating,F1+(bra),,2026-09-25,https://www.fitchratings.com/entity/qi-sociedade-de-credito-direto-sa-97480532
2026-09-25,Fitch,BANCO C6 CONSIGNADO,Banco C6 Consignado S.A.,National Short Term Rating,F1(bra),,2026-09-23,https://www.fitchratings.com/entity/banco-ficsa-sa-80543453
2026-09-25,Fitch,BANCO C6 CONSIGNADO,Banco C6 Consignado S.A.,National Long Term Rating,A+(bra),Rating Outlook Positive,2026-09-23,https://www.fitchratings.com/entity/banco-ficsa-sa-80543453
2026-09-25,Fitch,BANCO C6 CONSIGNADO,Banco C6 Consignado S.A.,Support Rating,NR,,2004-11-25,https://www.fitchratings.com/entity/banco-ficsa-sa-80543453
2026-09-25,Fitch,BANCO C6,Banco C6 S.A.,Long Term Issuer Default Rating,BB-,Rating Outlook Stable,2026-09-23,https://www.fitchratings.com/entity/banco-c6-sa-97531837
2026-09-25,Fitch,BANCO C6,Banco C6 S.A.,Short Term Issuer Default Rating,B,,2026-09-23,https://www.fitchratings.com/entity/banco-c6-sa-97531837
2026-09-25,Fitch,BANCO C6,Banco C6 S.A.,Viability Rating,bb-,,2026-09-23,https://www.fitchratings.com/entity/banco-c6-sa-97531837
2026-09-25,Fitch,BANCO C6,Banco C6 S.A.,Local Currency Short Term Issuer Default Rating,B,,2026-09-23,https://www.fitchratings.com/entity/banco-c6-sa-97531837
2026-09-25,Fitch,BANCO C6,Banco C6 S.A.,Government Support Rating,ns,,2026-09-23,https://www.fitchratings.com/entity/banco-c6-sa-97531837
2026-09-25,Fitch,BANCO C6,Banco C6 S.A.,National Short Term Rating,F1(bra),,2026-09-23,https://www.fitchratings.com/entity/banco-c6-sa-97531837
2026-09-25,Fitch,BANCO C6,Banco C6 S.A.,National Long Term Rating,A+(bra),Rating Outlook Positive,2026-09-23,https://www.fitchratings.com/entity/banco-c6-sa-97531837
2026-09-25,Fitch,BANCO C6,Banco C6 S.A.,Local Currency Long Term Issuer Default Rating,BB-,Rating Outlook Stable,2026-09-23,https://www.fitchratings.com/entity/banco-c6-sa-97531837
2026-09-25,Fitch,BANCO FIBRA,Banco Fibra S.A.,Long Term Issuer Default Rating,B+,Rating Outlook Stable,2026-09-23,https://www.fitchratings.com/entity/banco-fibra-sa-80360734
2026-09-25,Fitch,BANCO FIBRA,Banco Fibra S.A.,Short Term Issuer Default Rating,B,,2026-09-23,https://www.fitchratings.com/entity/banco-fibra-sa-80360734
2026-09-25,Fitch,BANCO FIBRA,Banco Fibra S.A.,Local Currency Short Term Issuer Default Rating,B,,2026-09-23,https://www.fitchratings.com/entity/banco-fibra-sa-80360734
2026-09-25,Fitch,BANCO FIBRA,Banco Fibra S.A.,Local Currency Long Term Issuer Default Rating,B+,Rating Outlook Stable,2026-09-23,https://www.fitchratings.com/entity/banco-fibra-sa-80360734
2026-09-25,Fitch,BANCO FIBRA,Banco Fibra S.A.,National Long Term Rating,BBB+(bra),Rating Outlook Stable,2026-09-23,https://www.fitchratings.com/entity/banco-fibra-sa-80360734
2026-09-25,Fitch,BANCO FIBRA,Banco Fibra S.A.,Viability Rating,b+,,2026-09-23,https://www.fitchratings.com/entity/banco-fibra-sa-80360734
2026-09-25,Fitch,BANCO FIBRA,Banco Fibra S.A.,National Short Term Rating,F2(bra),,2026-09-23,https://www.fitchratings.com/entity/banco-fibra-sa-80360734
2026-09-25,Fitch,BANCO FIBRA,Banco Fibra S.A.,Government Support Rating,ns,,2026-09-23,https://www.fitchratings.com/entity/banco-fibra-sa-80360734
